figure,file,width_px,height_px,dpi,sha256
Figure 1,paper_figures/final_tiff/Figure_1.tiff,4164,4709,600,fefaf7d3deaee7a91841ed773762c2bf01205452c3a4f9599a1861d45d05a1cd
Figure 2,paper_figures/final_tiff/Figure_2.tiff,4500,6381,600,e68bbb7f408f52f18c87dfb3a0757c8c9597fc2dbc8fa93c0f9cc6055bd5f245
Figure 3,paper_figures/final_tiff/Figure_3.tiff,4489,3947,600,2d6e433a1433f692f3db0f4c68cb7c9269583b52efbcae017d61e6d7f4277366
Figure 4,paper_figures/final_tiff/Figure_4.tiff,4500,6610,600,9b29d3fb48c01488e9a638652951731e995c09d11bd82d23f31fff8512f4bc90
Figure 5,paper_figures/final_tiff/Figure_5.tiff,4500,5956,600,af2773d77868fa1abf3c60a6a4643f1313676b0d52ffc4fc7e6f7e91ca78e989
Figure 6,paper_figures/final_tiff/Figure_6.tiff,4400,5670,600,a14829f649eff05cfee81127ecaba55f0468e7a3950f774d174d07145aa48d6b
Supplementary Figure 1,paper_figures/final_tiff/Supplementary_Figure_1.tiff,4282,6475,600,0773f19d0a666b28fd3e996f2098f0ea615bc77619ee61383d80dbe7310a087f
Supplementary Figure 2,paper_figures/final_tiff/Supplementary_Figure_2.tiff,4424,3158,600,6011fdfababcc60fc5d76d438b54aba98757019adb9dcd1e311129852cdb2fda
Supplementary Figure 3,paper_figures/final_tiff/Supplementary_Figure_3.tiff,4208,3308,600,9f0855f16c01ab18418b8afaded1277a5e3b63582f63eb2dbe14654109ba1235
Supplementary Figure 4,paper_figures/final_tiff/Supplementary_Figure_4.tiff,3003,4319,600,d383bb46381fa850d805ec44bfa58d376c4cf394bc82ef3dabf593c5700fec40
Supplementary Figure 5,paper_figures/final_tiff/Supplementary_Figure_5.tiff,4489,2100,600,cef44e4a40d0be68af4b35156c3a2c305dcd9d77493ba4f75231ec26b104e960
Supplementary Figure 6,paper_figures/final_tiff/Supplementary_Figure_6.tiff,4227,5227,600,d6b6ebc43a639cc3d017ebca7b3339dd153b8e5f54e42b73d240a2a377f3aca8
Supplementary Figure 7,paper_figures/final_tiff/Supplementary_Figure_7.tiff,4500,4718,600,8c30b3f8ff05ec69cdca8f979b4b52f4f8ce86476e1cc8840339ee4ec05347cd
Supplementary Figure 8,paper_figures/final_tiff/Supplementary_Figure_8.tiff,4479,2332,600,c1afef0922bc9c5d385b5086dd8960570c958018afaa68c5b982b2a64c0a5c3c
