target_index,uniprot_accession,activity_feature,interaction_feature
1,P35414,P35414,P35414*Cmax
2,P24530,P24530,P24530*Cmax
3,P30518,P30518,P30518*Cmax
4,P35346,P35346,P35346*Cmax
5,Q9Y271,Q9Y271,Q9Y271*Cmax
6,P34998,P34998,P34998*Cmax
7,P30874,P30874,P30874*Cmax
8,P34995,P34995,P34995*Cmax
9,P08173,P08173,P08173*Cmax
10,P30988,P30988,P30988*Cmax
11,P41595,P41595,P41595*Cmax
12,P35408,P35408,P35408*Cmax
13,P21918,P21918,P21918*Cmax
14,P31391,P31391,P31391*Cmax
15,P30968,P30968,P30968*Cmax
16,P08913,P08913,P08913*Cmax
17,Q13639,Q13639,Q13639*Cmax
18,P43116,P43116,P43116*Cmax
19,P37288,P37288,P37288*Cmax
20,P28222,P28222,P28222*Cmax
21,P32238,P32238,P32238*Cmax
22,P18825,P18825,P18825*Cmax
23,P30872,P30872,P30872*Cmax
24,P47901,P47901,P47901*Cmax
25,P25021,P25021,P25021*Cmax
26,P18089,P18089,P18089*Cmax
27,P48039,P48039,P48039*Cmax
28,P49286,P49286,P49286*Cmax
29,P43088,P43088,P43088*Cmax
30,P41146,P41146,P41146*Cmax
31,P32745,P32745,P32745*Cmax
32,P08912,P08912,P08912*Cmax
33,P21728,P21728,P21728*Cmax
34,Q9UBS5,Q9UBS5,Q9UBS5*Cmax
35,P07550,P07550,P07550*Cmax
36,P61073,P61073,P61073*Cmax
37,P08172,P08172,P08172*Cmax
38,P08588,P08588,P08588*Cmax
39,P08908,P08908,P08908*Cmax
40,P11229,P11229,P11229*Cmax
41,P14416,P14416,P14416*Cmax
42,P21554,P21554,P21554*Cmax
43,P21917,P21917,P21917*Cmax
44,O43193,O43193,O43193*Cmax
45,P25100,P25100,P25100*Cmax
46,P28223,P28223,P28223*Cmax
47,P28335,P28335,P28335*Cmax
48,P30542,P30542,P30542*Cmax
49,P30556,P30556,P30556*Cmax
50,P35348,P35348,P35348*Cmax
51,P35367,P35367,P35367*Cmax
52,P35368,P35368,P35368*Cmax
53,P21452,P21452,P21452*Cmax
54,P35372,P35372,P35372*Cmax
55,P35462,P35462,P35462*Cmax
56,P41143,P41143,P41143*Cmax
57,P41145,P41145,P41145*Cmax
58,P32246,P32246,P32246*Cmax
59,P25025,P25025,P25025*Cmax
60,P20309,P20309,P20309*Cmax
61,P13945,P13945,P13945*Cmax
62,P25103,P25103,P25103*Cmax
63,P25105,P25105,P25105*Cmax
64,P29274,P29274,P29274*Cmax
65,P25101,P25101,P25101*Cmax
66,P34972,P34972,P34972*Cmax
67,P29275,P29275,P29275*Cmax
68,P0DMS8,P0DMS8,P0DMS8*Cmax
69,P32245,P32245,P32245*Cmax
70,Q9Y5N1,Q9Y5N1,Q9Y5N1*Cmax
71,P51681,P51681,P51681*Cmax
72,P32239,P32239,P32239*Cmax
73,P30543,P30543,P30543*Cmax
74,P34969,P34969,P34969*Cmax
75,P30411,P30411,P30411*Cmax
76,P41594,P41594,P41594*Cmax
77,P50406,P50406,P50406*Cmax
78,P47898,P47898,P47898*Cmax
79,P28564,P28564,P28564*Cmax
80,P43115,P43115,P43115*Cmax
81,Q9H3N8,Q9H3N8,Q9H3N8*Cmax
82,Q9UKP6,Q9UKP6,Q9UKP6*Cmax
83,Q01726,Q01726,Q01726*Cmax
84,Q16602,Q16602,Q16602*Cmax
85,P41597,P41597,P41597*Cmax
