target_uniprot,human_gene
P35414,APLNR
P24530,EDNRB
P30518,AVPR2
P35346,SSTR5
Q9Y271,CYSLTR1
P34998,CRHR1
P30874,SSTR2
P34995,PTGER1
P08173,CHRM4
P30988,CALCR
P41595,HTR2B
P35408,PTGER4
P21918,DRD5
P31391,SSTR4
P30968,GNRHR
P08913,ADRA2A
Q13639,HTR4
P43116,PTGER2
P37288,AVPR1A
P28222,HTR1B
P32238,CCKAR
P18825,ADRA2C
P30872,SSTR1
P47901,AVPR1B
P25021,HRH2
P18089,ADRA2B
P48039,MTNR1A
P49286,MTNR1B
P43088,PTGFR
P41146,OPRL1
P32745,SSTR3
P08912,CHRM5
P21728,DRD1
Q9UBS5,GABBR1
P07550,ADRB2
P61073,CXCR4
P08172,CHRM2
P08588,ADRB1
P08908,HTR1A
P11229,CHRM1
P14416,DRD2
P21554,CNR1
P21917,DRD4
O43193,MLNR
P25100,ADRA1D
P28223,HTR2A
P28335,HTR2C
P30542,ADORA1
P30556,AGTR1
P35348,ADRA1A
P35367,HRH1
P35368,ADRA1B
P21452,TACR2
P35372,OPRM1
P35462,DRD3
P41143,OPRD1
P41145,OPRK1
P32246,CCR1
P25025,CXCR2
P20309,CHRM3
P13945,ADRB3
P25103,TACR1
P25105,PTAFR
P29274,ADORA2A
P25101,EDNRA
P34972,CNR2
P29275,ADORA2B
P0DMS8,ADORA3
P32245,MC4R
Q9Y5N1,HRH3
P51681,CCR5
P32239,CCKBR
P30543,ADORA2A
P34969,HTR7
P30411,BDKRB2
P41594,GRM5
P50406,HTR6
P47898,HTR5A
P28564,HTR1B
P43115,PTGER3
Q9H3N8,HRH4
Q9UKP6,UTS2R
Q01726,MC1R
Q16602,CALCRL
P41597,CCR2
P49146,NPY2R
P25024,CXCR1
P32247,BRS3
P30989,NTSR1
P46663,BDKRB1
Q9NS75,CYSLTR2
P29371,TACR3
P41587,VIPR2
P50052,AGTR2
P33032,MC5R
Q92847,GHSR
P41968,MC3R
P25929,NPY1R
O43614,HCRTR2
P49238,CX3CR1
O43613,HCRTR1
P32241,VIPR1
Q8TDU6,GPBAR1
P01275,GCG
Q96LB1,MRGPRX2
Q61224,HTR1D
O75899,GABBR2
P51787,KCNQ1
P43681,CHRNA4
P46098,HTR3A
Q13936,CACNA1C
P14867,GABRA1
Q14524,SCN5A
Q05586,GRIN1
Q92952,KCNN1
Q12809,KCNH2
P56373,P2RX3
P07727,GLRA1
Q9UGI6,KCNN3
P22002,CACNA1C
Q99250,SCN2A
Q9H2S1,KCNN2
Q99572,P2RX7
P02708,CHRNA1
Q02294,CACNA1B
P18507,GABRG2
P12821,ACE
P21397,MAOA
P27338,MAOB
P22303,ACHE
P23219,PTGS1
P35354,PTGS2
P42574,CASP3
Q14432,PDE3A
P07339,CTSD
O00408,PDE2A
Q08499,PDE4D
Q13370,PDE3B
P14780,MMP9
P03956,MMP1
P08253,MMP2
Q9UDY8,MALT1
P80457,XDH
Q9BYF1,ACE2
P08311,CTSG
P56817,BACE1
P00519,ABL1
P17948,FLT1
P10721,KIT
P06213,INSR
P00533,EGFR
Q96GD4,AURKB
P06239,LCK
Q16539,MAPK14
P49841,GSK3B
P12931,SRC
Q05397,PTK2
P35968,KDR
P43403,ZAP70
P04629,NTRK1
P49840,GSK3A
O75116,ROCK2
P17252,PRKCA
P24941,CDK2
Q13464,ROCK1
P48736,PIK3CG
O14733,MAP2K7
Q13315,ATM
P07948,LYN
P28482,MAPK1
Q9UQM7,CAMK2A
O14965,AURKA
Q15118,PDK1
Q8TDR2,STK35
P10275,AR
P04150,NR3C1
P10276,RARA
P03372,ESR1
P19793,RXRA
P06401,PGR
P37231,PPARG
Q92731,ESR2
P55055,NR1H2
P30531,SLC6A1
P23975,SLC6A2
P31645,SLC6A4
Q01959,SLC6A3
P31652,SLC6A4
P23977,SLC6A3
Q9GZV3,SLC5A7
P28572,SLC6A9
P30536,TSPO
P01375,TNF
Q99720,SIGMAR1
