compound_id,name,soc_code,target_uniprot,delta_probability,delta_probability_sd,positive_fold_fraction,target_gene,evidence_level
SMOKE_CITALOPRAM_20,Citalopram,BLO,P35414,-0.0008498862152919,0.0060929572209715,0.6,APLNR,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P24530,-0.0006763860583305,0.0008656613645143,0.2,EDNRB,direct
SMOKE_CITALOPRAM_20,Citalopram,BLO,P30518,-0.0021265458781272,0.0031165527179837,0.2,AVPR2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P35346,0.0029259969014674,0.0045284577645361,0.6,SSTR5,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,Q9Y271,-0.02387285977602,0.0135096805170178,0.0,CYSLTR1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P34998,-0.0021158461458981,0.0034086862578988,0.2,CRHR1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P30874,-0.0008858311921358,0.0018672896549105,0.6,SSTR2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P34995,0.0031734853982925,0.0026492425240576,1.0,PTGER1,secondary
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08173,0.0018728387076407,0.0023593150544911,1.0,CHRM4,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P30988,0.0015426047611981,0.0019268922042101,0.8,CALCR,secondary
SMOKE_CITALOPRAM_20,Citalopram,BLO,P41595,0.0001959137589437,0.0019845969509333,0.6,HTR2B,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P35408,-0.0005616415292024,0.00095832668012,0.0,PTGER4,secondary
SMOKE_CITALOPRAM_20,Citalopram,BLO,P21918,-0.0121490154415369,0.0135515434667468,0.2,DRD5,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P31391,-0.0038357167504727,0.006123264785856,0.4,SSTR4,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P30968,-0.0054331193678081,0.0072528612799942,0.0,GNRHR,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08913,-0.0004000485059805,0.0003125364310108,0.0,ADRA2A,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,Q13639,0.0021197360474616,0.0026414340827614,0.8,HTR4,direct
SMOKE_CITALOPRAM_20,Citalopram,BLO,P43116,0.004887240473181,0.0032033186871558,1.0,PTGER2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P37288,-0.0034518023021519,0.0056947893463075,0.2,AVPR1A,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P28222,-0.0009535077842883,0.0010107703274115,0.2,HTR1B,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P32238,0.0014157727127894,0.0019753049127757,0.8,CCKAR,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P18825,-0.0006382610881701,0.0007122302195057,0.2,ADRA2C,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P30872,6.685070547973737e-05,0.0003954397689085,0.4,SSTR1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P47901,0.001027027494274,0.001304896781221,0.6,AVPR1B,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P25021,-0.0036012236960232,0.0035073382314294,0.0,HRH2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P18089,0.0034319381229579,0.0029558474197983,1.0,ADRA2B,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P48039,-0.0064377784729003,0.0085901236161589,0.4,MTNR1A,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P49286,-0.0044986773282289,0.0051197195425629,0.2,MTNR1B,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P43088,0.0004381310136523,0.0020222957246005,0.6,PTGFR,secondary
SMOKE_CITALOPRAM_20,Citalopram,BLO,P41146,0.0009642682853154,0.0016532036243006,0.4,OPRL1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P32745,-0.0013180344831198,0.0012909804936498,0.0,SSTR3,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08912,0.0021443490404635,0.0073066009208559,0.8,CHRM5,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P21728,-0.0022498122416436,0.0062890779227018,0.6,DRD1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,Q9UBS5,7.537715282524005e-05,0.0023731689434498,0.6,GABBR1,secondary
SMOKE_CITALOPRAM_20,Citalopram,BLO,P07550,-0.0027571930550038,0.0039578042924404,0.2,ADRB2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P61073,-0.0026423442177474,0.0032979759853333,0.2,CXCR4,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08172,-0.0011492371559143,0.0026820395141839,0.2,CHRM2,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08588,0.0002296738384757,0.0038358895108103,0.6,ADRB1,none
SMOKE_CITALOPRAM_20,Citalopram,BLO,P08908,0.0045728320255875,0.0040646567940711,0.8,HTR1A,none
