soc,task_name,n_pairs,n_positive,auroc
BLO,Blood and lymphatic system disorders,508,198,0.7536331052460085
CAR,Cardiac disorders,485,224,0.7496237000547344
EAR,Ear and labyrinth disorders,429,139,0.6565864549739518
END,Endocrine disorder,367,77,0.6600985221674878
EYE,Eye disorders,361,205,0.7052845528455285
GAS,Gastrointestinal disorders,489,281,0.7533362989323844
HEP,Hepatobiliary disorders,508,186,0.6961196820944366
IMM,Immune system disorders,424,218,0.7410929010421304
INF,Infections and infestations,465,204,0.7139771617459244
MET,Metabolism and nutrition disorders,456,212,0.7129600989792761
MUS,Musculoskeletal and connective tissue disorders,457,220,0.7343114691215958
NER,Nervous system disorders,499,293,0.7479704430232943
PSY,Psychiatric disorders,553,220,0.7311766311766311
REN,Renal and urinary disorders,456,209,0.7041047595064216
REP,Reproductive system and breast disorders,447,155,0.677485638532921
RES,"Respiratory, thoracic and mediastinal disorders",413,234,0.7353769756004394
SKI,Skin and subcutaneous tissue disorders,529,287,0.7677023641546923
VAS,Vascular disorders,558,244,0.7397932546726532
