model,n,PCC,Spearman,RMSE,MAE,Bias,R2
ADMETlab3.0,25,0.8411269222329304,0.6530403412109556,10.491842926769348,5.512799999999999,-0.11519999999999982,0.7032637218808522
admetSAR3.0,25,0.8901060636331217,0.6192004974494929,9.005423254905901,5.7672,-0.4552000000000004,0.7813873222878298
DruMAP,25,0.8775204136964205,0.7068103639774429,12.229045751815633,6.324799999999998,0.45760000000000045,0.5968634039512852
Pangu Drug Molecule,25,0.8963017679527675,0.5858798602753498,9.08066109707878,6.538679999999999,-2.9002799999999995,0.7777191648419598
PreADMET,25,0.7551798930121326,0.6605082788585454,14.198215618872675,9.70212,-2.7597199999999997,0.456581249789177
OCHEM Consensus model,25,0.9656388391950094,0.7653846153846153,5.79753878814105,3.2063999999999986,-0.06879999999999939,0.9093945314176709
paper_MotifAttNet,25,0.984755352551528,0.7746153846153846,4.405418132518075,2.2713117402360408,-0.10930508127692093,0.9476831779909752
random_full_5seed_mean,25,0.8999891587024407,0.7815384615384615,8.648924640305216,4.246635952538272,-2.0768476237362306,0.7983532109182372
random_no_SR_5seed_mean,25,0.9389499805566153,0.7723076923076923,7.126301843233144,3.8945691530509503,-1.4380563560548052,0.8631025016972532
random_no_Motif_5seed_mean,25,0.8763398093215411,0.5438461538461539,10.032519609547943,5.337510115896526,-2.0813392660635714,0.7286766819918286
scaffold_full_5seed_mean,25,0.8646002722818011,0.7069230769230769,10.28749997246283,5.815204010449902,-3.485302264770003,0.7147098489423125
scaffold_no_SR_5seed_mean,25,0.9007013607735843,0.7246153846153846,8.82074616937602,5.12309555985293,-2.618362566223756,0.7902617044460036
scaffold_no_Motif_5seed_mean,25,0.8871003743159838,0.666923076923077,9.392654575963565,5.1744460704612205,-2.2829037267962193,0.7621825123093546
