smiles,drug,END,EAR,REP,HEP,BLO,REN,EYE,IMM,INF,GAS,NER,SKI,MET,MUS,RES,VAS,CAR,PSY
CCCCCCCCCCCCCC[N+](C)(C)C,trimethyltetradecylammonium,0.0,,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0
Cc1nc2c(N3CCNCC3)cccc2n1S(=O)(=O)c1ccccc1,pf-05212377,,,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,
CCN1CCN(c2nc(Nc3ccccc3)n3ncc(C#N)c3n2)CC1,2-(4-ethylpiperazin-1-yl)-4-(phenylamino)pyrazolo[1;5-a][1;3;5]triazine-8-carbonitrile,,,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,,
N[C@H]1CN(CCc2ccc3c(c2)OCO3)C(=O)C[C@@H]1c1cc(F)c(F)cc1F,(4r;5r)-5-amino-1-[2-(1;3-benzodioxol-5-yl)ethyl]-4-(2;4;5-trifluorophenyl)piperidin-2-one,0.0,0.0,,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0
O=C(O)CC(=O)O,malonic acid,,,,,,0.0,,,,,,0.0,0.0,,0.0,0.0,,
COCCOCCOCCOCCO,2-{2-[2-2-(methoxy-ethoxy)-ethoxy]-ethoxy}-ethanol,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0
O=S(=O)(O)CCN1CCN(CCO)CC1,hepes,,,,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0
COC(=O)N1CCC(CN2CCC(CNC(=O)c3cccc4[nH]c(C(C)C)nc34)CC2)CC1,felcisetrag,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,
Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C)c12,(s)-2-methyl-1-[(4-methyl-5-isoquinoline)sulfonyl]-homopiperazine,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,
O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1,3;5-dinitrocatechol,,,,0.0,0.0,,,,,,0.0,,,,,,,
N[C@@H](Cc1cccc(O)c1)C(=O)O,3-tyrosine,,,,,,,0.0,,,,,,,,,,,
O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1,SIDER12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,almorexant,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,bis(adenosine)-5'-pentaphosphate,,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,,,,
O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O,phytic acid,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,
