fold,stage,AUROC,AUPRC
1,baseline,0.7223290667399315,0.6899321124170705
1,finetuned,0.7248275827389139,0.6964150174290702
2,baseline,0.7233757817433932,0.696838443339721
2,finetuned,0.7269642413469084,0.7038615173692246
3,baseline,0.7234232103473442,0.6988998033779421
3,finetuned,0.7249613256877662,0.7015502293949201
4,baseline,0.7284211852030984,0.6928928102219146
4,finetuned,0.7307230153529249,0.7004622957758472
5,baseline,0.7224791811285813,0.7028106897647975
5,finetuned,0.7249961542830772,0.706653301586815
