adr_abbr,method,auroc
BLO,DOT-SafeNet,0.7536331052460085
BLO,AC50 heuristic,0.507445421961551
BLO,Free-margin heuristic,0.5012056044314108
CAR,DOT-SafeNet,0.7496237000547344
CAR,AC50 heuristic,0.5434284345922277
CAR,Free-margin heuristic,0.4966475095785441
EAR,DOT-SafeNet,0.6565864549739518
EAR,AC50 heuristic,
EAR,Free-margin heuristic,
END,DOT-SafeNet,0.6600985221674878
END,AC50 heuristic,0.5079265562024182
END,Free-margin heuristic,0.4519928347514554
EYE,DOT-SafeNet,0.7052845528455285
EYE,AC50 heuristic,0.5284865540963102
EYE,Free-margin heuristic,0.4928392745465916
GAS,DOT-SafeNet,0.7533362989323844
GAS,AC50 heuristic,0.5335768546400219
GAS,Free-margin heuristic,0.49259170544757735
HEP,DOT-SafeNet,0.6961196820944366
HEP,AC50 heuristic,0.5257212983370065
HEP,Free-margin heuristic,0.5194182862485808
IMM,DOT-SafeNet,0.7410929010421304
IMM,AC50 heuristic,0.5167676137881891
IMM,Free-margin heuristic,0.49812950921884747
INF,DOT-SafeNet,0.7139771617459244
INF,AC50 heuristic,
INF,Free-margin heuristic,
MET,DOT-SafeNet,0.7129600989792761
MET,AC50 heuristic,0.5206077946180019
MET,Free-margin heuristic,0.48090009279307144
MUS,DOT-SafeNet,0.7343114691215958
MUS,AC50 heuristic,0.52692750287687
MUS,Free-margin heuristic,0.5072497123130035
NER,DOT-SafeNet,0.7479704430232943
NER,AC50 heuristic,0.5081679313429869
NER,Free-margin heuristic,0.48576824944497826
PSY,DOT-SafeNet,0.7311766311766311
PSY,AC50 heuristic,0.4694649194649194
PSY,Free-margin heuristic,0.4600737100737101
REN,DOT-SafeNet,0.7041047595064216
REN,AC50 heuristic,0.550859113185983
REN,Free-margin heuristic,0.49524436782054515
REP,DOT-SafeNet,0.677485638532921
REP,AC50 heuristic,0.471442775077331
REP,Free-margin heuristic,0.43208130799823247
RES,DOT-SafeNet,0.7353769756004394
RES,AC50 heuristic,0.5160196724442534
RES,Free-margin heuristic,0.456930716707253
SKI,DOT-SafeNet,0.7677023641546923
SKI,AC50 heuristic,0.4807066547643044
SKI,Free-margin heuristic,0.4521841794569067
VAS,DOT-SafeNet,0.7397932546726532
VAS,AC50 heuristic,0.5074266471755247
VAS,Free-margin heuristic,0.4703978281298945
