adr_abbr,mean_probability_20mg,mean_probability_250mg,mean_delta_250_minus_20,median_delta_250_minus_20,fraction_increased,fraction_crossing_0.5
END,0.058863790707013454,0.2537537527795937,0.19488996207258025,0.10004669241607189,0.993485342019544,0.17263843648208468
EAR,0.07393704241244817,0.34711538186715457,0.27317833945470643,0.1672168862074614,0.99457111834962,0.2692725298588491
REP,0.08820835967597736,0.37631480234587134,0.288106442669894,0.200042499601841,0.993485342019544,0.30510314875135724
HEP,0.09446599702472136,0.41442806245101843,0.31996206542629707,0.24714042991399768,0.99457111834962,0.3300760043431053
BLO,0.11607562714275554,0.47885645660152104,0.36278082945876544,0.3156567871570586,0.997828447339848,0.38979370249728557
REN,0.11558454636874708,0.4643451513585014,0.34876060498975436,0.2948371022939682,0.99457111834962,0.3724212812160695
EYE,0.13591992589159704,0.4627674786922048,0.32684755280060773,0.25678054280579093,0.990228013029316,0.3572204125950054
IMM,0.14014883296772526,0.4870514303838165,0.3469025974160912,0.29016317948699,0.995656894679696,0.3930510314875136
INF,0.12298080836560261,0.4455138772362024,0.3225330688705998,0.2430416528135538,0.990228013029316,0.33876221498371334
GAS,0.20231885736470434,0.599114259774923,0.39679540241021877,0.37481225728988654,0.991313789359392,0.4505971769815418
NER,0.20554674535369885,0.5918424050682644,0.3862956597145655,0.36713113188743585,0.990228013029316,0.42779587404994573
SKI,0.20379016729990415,0.584942530523925,0.38115236322402074,0.3583247259259225,0.98914223669924,0.4212812160694897
MET,0.130731803562035,0.48992468388700583,0.3591928803249708,0.3030504107475281,0.992399565689468,0.3984799131378936
MUS,0.127846648711428,0.4766157839726353,0.3487691352612073,0.2836282465606928,0.992399565689468,0.3811074918566775
RES,0.16136781681757761,0.5223953076841534,0.36102749086657576,0.3074110053479672,0.993485342019544,0.40825190010857765
VAS,0.13093050409949722,0.47326173808842287,0.3423312339889256,0.26584456861019135,0.992399565689468,0.3713355048859935
CAR,0.14137589125828276,0.47589868034572863,0.33452278908744587,0.2740398086607457,0.991313789359392,0.36699239956568946
PSY,0.12414297901253728,0.47825291062139946,0.3541099316088622,0.3005171947181225,0.991313789359392,0.3919652551574376
