column_index,target_uniprot,human_gene,community_module,direct_soc_count,secondary_soc_count
0,Q05586,GRIN1,M1,2,0
1,P22002,CACNA1C,M1,3,0
2,Q13936,CACNA1C,M1,3,0
3,P41143,OPRD1,M1,3,0
4,Q12809,KCNH2,M1,2,0
5,Q13370,PDE3B,M1,0,2
6,Q14432,PDE3A,M1,2,0
7,O00408,PDE2A,M1,0,2
8,P23975,SLC6A2,M1,7,0
9,P48736,PIK3CG,M1,0,3
10,Q14524,SCN5A,M1,5,0
11,Q9UQM7,CAMK2A,M1,0,4
12,P49146,NPY2R,M1,0,3
13,P32745,SSTR3,M1,0,2
14,P31391,SSTR4,M1,0,2
15,P35346,SSTR5,M1,0,3
16,Q02294,CACNA1B,M1,0,3
17,P30874,SSTR2,M1,0,3
18,P30556,AGTR1,M2,4,0
19,P50052,AGTR2,M2,4,0
20,P25101,EDNRA,M2,1,0
21,P28564,HTR1B,M2,2,0
22,P28222,HTR1B,M2,2,0
23,P47901,AVPR1B,M2,0,2
24,P08311,CTSG,M2,0,2
25,P07339,CTSD,M2,0,2
26,P12821,ACE,M2,4,0
27,P30542,ADORA1,M2,4,0
28,P37288,AVPR1A,M2,3,0
29,P30518,AVPR2,M2,0,3
30,P14780,MMP9,M2,0,2
31,P41145,OPRK1,M2,7,0
32,P41146,OPRL1,M2,0,4
33,Q9BYF1,ACE2,M2,0,2
34,P32247,BRS3,M2,0,2
35,O43193,MLNR,M2,0,2
36,P43115,PTGER3,M2,0,2
37,P43088,PTGFR,M2,0,2
38,P23219,PTGS1,M2,4,0
39,P34995,PTGER1,M2,0,2
40,P50406,HTR6,M3,0,2
41,O43613,HCRTR1,M3,0,2
42,Q92952,KCNN1,M3,1,0
43,Q9H2S1,KCNN2,M3,1,0
44,Q9UGI6,KCNN3,M3,1,0
45,P49841,GSK3B,M3,1,0
46,P08912,CHRM5,M3,1,0
47,P21554,CNR1,M3,3,0
48,P49286,MTNR1B,M3,3,0
49,P34969,HTR7,M3,3,0
50,P28335,HTR2C,M3,3,0
51,Q99720,SIGMAR1,M3,2,0
52,P48039,MTNR1A,M3,0,2
53,Q99250,SCN2A,M3,7,0
54,P17252,PRKCA,M3,0,4
55,P41968,MC3R,M4,0,2
56,P32245,MC4R,M4,0,2
57,Q15118,PDK1,M4,0,2
58,Q92731,ESR2,M4,0,3
59,P30968,GNRHR,M4,0,2
60,Q13315,ATM,M4,0,2
61,O14965,AURKA,M4,0,2
62,P10276,RARA,M4,0,2
63,P08253,MMP2,M4,0,2
64,P42574,CASP3,M4,0,3
65,P28482,MAPK1,M4,0,4
66,P00533,EGFR,M4,0,4
67,P03372,ESR1,M4,0,4
68,P10275,AR,M4,7,0
69,P06401,PGR,M4,0,4
70,Q9UDY8,MALT1,M4,0,2
71,Q13464,ROCK1,M4,0,2
72,Q96GD4,AURKB,M4,0,2
73,Q16539,MAPK14,M4,0,3
74,P10721,KIT,M4,0,2
75,P56817,BACE1,M4,0,2
76,O14733,MAP2K7,M4,0,2
77,P04629,NTRK1,M4,0,2
78,Q9H3N8,HRH4,M4,0,2
79,P24941,CDK2,M4,1,0
