soc_abbr,target_family,evidence_type,n_targets
BLO,GPCR,direct,8
BLO,GPCR,secondary,17
BLO,IonChannel,direct,0
BLO,IonChannel,secondary,0
BLO,Enzyme,direct,1
BLO,Enzyme,secondary,0
BLO,Kinase,direct,0
BLO,Kinase,secondary,4
BLO,NHR,direct,1
BLO,NHR,secondary,2
BLO,Transporter,direct,0
BLO,Transporter,secondary,1
BLO,Other,direct,0
BLO,Other,secondary,0
CAR,GPCR,direct,24
CAR,GPCR,secondary,7
CAR,IonChannel,direct,12
CAR,IonChannel,secondary,0
CAR,Enzyme,direct,4
CAR,Enzyme,secondary,2
CAR,Kinase,direct,1
CAR,Kinase,secondary,5
CAR,NHR,direct,2
CAR,NHR,secondary,0
CAR,Transporter,direct,1
CAR,Transporter,secondary,1
CAR,Other,direct,0
CAR,Other,secondary,0
EAR,GPCR,direct,0
EAR,GPCR,secondary,0
EAR,IonChannel,direct,0
EAR,IonChannel,secondary,1
EAR,Enzyme,direct,0
EAR,Enzyme,secondary,0
EAR,Kinase,direct,0
EAR,Kinase,secondary,0
EAR,NHR,direct,0
EAR,NHR,secondary,0
EAR,Transporter,direct,0
EAR,Transporter,secondary,0
EAR,Other,direct,0
EAR,Other,secondary,0
END,GPCR,direct,6
END,GPCR,secondary,10
END,IonChannel,direct,1
END,IonChannel,secondary,0
END,Enzyme,direct,0
END,Enzyme,secondary,0
END,Kinase,direct,0
END,Kinase,secondary,3
END,NHR,direct,2
END,NHR,secondary,2
END,Transporter,direct,0
END,Transporter,secondary,0
END,Other,direct,0
END,Other,secondary,0
EYE,GPCR,direct,9
EYE,GPCR,secondary,10
EYE,IonChannel,direct,1
EYE,IonChannel,secondary,2
EYE,Enzyme,direct,0
EYE,Enzyme,secondary,1
EYE,Kinase,direct,0
EYE,Kinase,secondary,2
EYE,NHR,direct,1
EYE,NHR,secondary,0
EYE,Transporter,direct,1
EYE,Transporter,secondary,0
EYE,Other,direct,0
EYE,Other,secondary,0
GAS,GPCR,direct,24
GAS,GPCR,secondary,8
GAS,IonChannel,direct,6
GAS,IonChannel,secondary,0
GAS,Enzyme,direct,5
GAS,Enzyme,secondary,3
GAS,Kinase,direct,3
GAS,Kinase,secondary,4
GAS,NHR,direct,0
GAS,NHR,secondary,0
GAS,Transporter,direct,3
GAS,Transporter,secondary,0
GAS,Other,direct,0
GAS,Other,secondary,0
HEP,GPCR,direct,1
HEP,GPCR,secondary,1
HEP,IonChannel,direct,0
HEP,IonChannel,secondary,0
HEP,Enzyme,direct,0
HEP,Enzyme,secondary,6
HEP,Kinase,direct,0
HEP,Kinase,secondary,11
HEP,NHR,direct,1
HEP,NHR,secondary,4
HEP,Transporter,direct,0
HEP,Transporter,secondary,1
HEP,Other,direct,0
HEP,Other,secondary,0
IMM,GPCR,direct,14
IMM,GPCR,secondary,15
IMM,IonChannel,direct,2
IMM,IonChannel,secondary,0
IMM,Enzyme,direct,2
IMM,Enzyme,secondary,2
IMM,Kinase,direct,1
IMM,Kinase,secondary,9
IMM,NHR,direct,2
IMM,NHR,secondary,1
IMM,Transporter,direct,0
IMM,Transporter,secondary,0
IMM,Other,direct,1
IMM,Other,secondary,0
INF,GPCR,direct,0
INF,GPCR,secondary,1
INF,IonChannel,direct,0
INF,IonChannel,secondary,0
INF,Enzyme,direct,0
INF,Enzyme,secondary,0
INF,Kinase,direct,0
INF,Kinase,secondary,1
INF,NHR,direct,0
INF,NHR,secondary,1
INF,Transporter,direct,0
INF,Transporter,secondary,0
INF,Other,direct,0
INF,Other,secondary,0
MET,GPCR,direct,9
MET,GPCR,secondary,6
MET,IonChannel,direct,0
MET,IonChannel,secondary,0
MET,Enzyme,direct,1
MET,Enzyme,secondary,3
MET,Kinase,direct,0
MET,Kinase,secondary,2
