"target_uniprot","target_family"
"O00408","Enzyme"
"O14733","Kinase"
"O14965","Kinase"
"O43193","GPCR"
"O43613","GPCR"
"O43614","GPCR"
"O75116","Kinase"
"O75899","GPCR"
"P00519","Kinase"
"P00533","Kinase"
"P01275","GPCR"
"P01375","Other"
"P02708","IonChannel"
"P03372","NHR"
"P03956","Enzyme"
"P04150","NHR"
"P04629","Kinase"
"P06213","Kinase"
"P06239","Kinase"
"P06401","NHR"
"P07339","Enzyme"
"P07550","GPCR"
"P07727","IonChannel"
"P07948","Kinase"
"P08172","GPCR"
"P08173","GPCR"
"P08253","Enzyme"
"P08311","Enzyme"
"P08588","GPCR"
"P08908","GPCR"
"P08912","GPCR"
"P08913","GPCR"
"P0DMS8","GPCR"
"P10275","NHR"
"P10276","NHR"
"P10721","Kinase"
"P11229","GPCR"
"P12821","Enzyme"
"P12931","Kinase"
"P13945","GPCR"
"P14416","GPCR"
"P14780","Enzyme"
"P14867","IonChannel"
"P17252","Kinase"
"P17948","Kinase"
"P18089","GPCR"
"P18507","IonChannel"
"P18825","GPCR"
"P19793","NHR"
"P20309","GPCR"
"P21397","Enzyme"
"P21452","GPCR"
"P21554","GPCR"
"P21728","GPCR"
"P21917","GPCR"
"P21918","GPCR"
"P22002","IonChannel"
"P22303","Enzyme"
"P23219","Enzyme"
"P23975","Transporter"
"P23977","Transporter"
"P24530","GPCR"
"P24941","Kinase"
"P25021","GPCR"
"P25024","GPCR"
"P25025","GPCR"
"P25100","GPCR"
"P25101","GPCR"
"P25103","GPCR"
"P25105","GPCR"
"P25929","GPCR"
"P27338","Enzyme"
"P28222","GPCR"
"P28223","GPCR"
"P28335","GPCR"
"P28482","Kinase"
"P28564","GPCR"
"P28572","Transporter"
"P29274","GPCR"
"P29275","GPCR"
"P29371","GPCR"
"P30411","GPCR"
"P30518","GPCR"
"P30531","Transporter"
"P30536","Transporter"
"P30542","GPCR"
"P30543","GPCR"
"P30556","GPCR"
"P30872","GPCR"
"P30874","GPCR"
"P30968","GPCR"
"P30988","GPCR"
"P30989","GPCR"
"P31391","GPCR"
"P31645","Transporter"
"P31652","Transporter"
"P32238","GPCR"
"P32239","GPCR"
"P32241","GPCR"
"P32245","GPCR"
"P32246","GPCR"
"P32247","GPCR"
"P32745","GPCR"
"P33032","GPCR"
"P34969","GPCR"
"P34972","GPCR"
"P34995","GPCR"
"P34998","GPCR"
"P35346","GPCR"
"P35348","GPCR"
"P35354","Enzyme"
"P35367","GPCR"
"P35368","GPCR"
"P35372","GPCR"
"P35408","GPCR"
"P35414","GPCR"
"P35462","GPCR"
"P35968","Kinase"
"P37231","NHR"
"P37288","GPCR"
"P41143","GPCR"
"P41145","GPCR"
"P41146","GPCR"
"P41587","GPCR"
"P41594","GPCR"
"P41595","GPCR"
"P41597","GPCR"
"P41968","GPCR"
"P42574","Enzyme"
"P43088","GPCR"
"P43115","GPCR"
"P43116","GPCR"
"P43403","Kinase"
"P43681","IonChannel"
"P46098","IonChannel"
"P46663","GPCR"
"P47898","GPCR"
"P47901","GPCR"
"P48039","GPCR"
"P48736","Kinase"
"P49146","GPCR"
"P49238","GPCR"
"P49286","GPCR"
"P49840","Kinase"
"P49841","Kinase"
"P50052","GPCR"
"P50406","GPCR"
"P51681","GPCR"
"P51787","IonChannel"
"P55055","NHR"
"P56373","IonChannel"
"P56817","Enzyme"
"P61073","GPCR"
"P80457","Enzyme"
"Q01726","GPCR"
"Q01959","Transporter"
"Q02294","IonChannel"
"Q05397","Kinase"
"Q05586","IonChannel"
"Q08499","Enzyme"
"Q12809","IonChannel"
"Q13315","Kinase"
"Q13370","Enzyme"
"Q13464","Kinase"
"Q13639","GPCR"
"Q13936","IonChannel"
"Q14432","Enzyme"
"Q14524","IonChannel"
"Q15118","Kinase"
"Q16539","Kinase"
"Q16602","GPCR"
"Q61224","GPCR"
"Q8TDR2","Kinase"
"Q8TDU6","GPCR"
"Q92731","NHR"
"Q92847","GPCR"
"Q92952","IonChannel"
"Q96GD4","Kinase"
"Q96LB1","GPCR"
"Q99250","IonChannel"
"Q99572","IonChannel"
"Q99720","Other"
"Q9BYF1","Enzyme"
"Q9GZV3","Transporter"
"Q9H2S1","IonChannel"
"Q9H3N8","GPCR"
"Q9NS75","GPCR"
"Q9UBS5","GPCR"
"Q9UDY8","Enzyme"
"Q9UGI6","IonChannel"
"Q9UKP6","GPCR"
"Q9UQM7","Kinase"
"Q9Y271","GPCR"
"Q9Y5N1","GPCR"
