canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
Cc1ncoc1C(=O)N1CC2CNCC2C1,P43681,8.6,,8.066,,Ion Channel,compound_34
O=C(c1ccncc1)N1CC2CNCC(C2)C1,P43681,27.5,,7.561,,Ion Channel,compound_35
O=C(c1ccc(F)o1)N1CC2CNCC2C1,P43681,12.0,,7.921,,Ion Channel,compound_36
O=C(c1cc(F)co1)N1CC2CNCC2C1,P43681,26.5,,7.577,,Ion Channel,compound_37
O=C(c1occc1F)N1CC2CNCC2C1,P43681,25.0,,7.602,,Ion Channel,compound_38
O=C(c1ccc(Cl)o1)N1CC2CNCC2C1,P43681,29.0,,7.538,,Ion Channel,compound_39
O=C(c1cc(Cl)co1)N1CC2CNCC2C1,P43681,10.35,,7.985,,Ion Channel,compound_40
O=C(c1occc1Cl)N1CC2CNCC2C1,P43681,2.2,,8.658,,Ion Channel,compound_41
O=C(c1ccc(Br)o1)N1CC2CNCC2C1,P43681,73.5,,7.134,,Ion Channel,compound_42
O=C(c1cc(Br)co1)N1CC2CNCC2C1,P43681,17.0,,7.77,,Ion Channel,compound_43
O=C(c1occc1Br)N1CC2CNCC2C1,P43681,1.75,,8.757,,Ion Channel,compound_44
Cc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,35.0,,7.456,,Ion Channel,compound_45
Cc1ccoc1C(=O)N1CC2CNCC2C1,P43681,43.0,,7.367,,Ion Channel,compound_46
O=C(c1ccc(F)o1)N1CC2CNCC(C2)C1,P43681,4.6,300.0,8.337,6.523,Ion Channel,compound_47
O=C(c1occc1F)N1CC2CNCC(C2)C1,P43681,57.0,22000.0,7.244,4.658,Ion Channel,compound_49
O=C(c1ccc(Cl)o1)N1CC2CNCC(C2)C1,P43681,7.3,1400.0,8.137,5.854,Ion Channel,compound_50
O=C(c1occc1Cl)N1CC2CNCC(C2)C1,P43681,29.0,76000.0,7.538,4.119,Ion Channel,compound_52
O=C(c1ccc(Br)o1)N1CC2CNCC(C2)C1,P43681,51.0,8300.0,7.292,5.081,Ion Channel,compound_53
O=C(c1cc(Br)co1)N1CC2CNCC(C2)C1,P43681,1.7,18000.0,8.77,4.745,Ion Channel,compound_54
O=C(c1occc1Br)N1CC2CNCC(C2)C1,P43681,17.0,8600.0,7.77,5.066,Ion Channel,compound_55
N#Cc1ccoc1C(=O)N1CC2CNCC(C2)C1,P43681,31.0,26000.0,7.509,4.585,Ion Channel,compound_56
Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,42.0,8500.0,7.377,5.071,Ion Channel,compound_57
O=C(c1ccno1)N1CC2CNCC2C1,P43681,59.0,,7.229,,Ion Channel,compound_58
O=C(c1ccco1)N1CC2CNCC2C1,P43681,33.0,,7.481,,Ion Channel,compound_59
O=C(c1ccco1)N1CC2CNCC(C2)C1,P43681,14.95,,7.825,,Ion Channel,compound_60
O=C(c1ccncc1)N1CC2CNCC2C1,P43681,113.5,,6.945,,Ion Channel,compound_61
CN1CCC(S(=O)(=O)c2ccc3nc(NC(=O)NC(=O)c4cc(N5CCOCC5)ccc4Cl)sc3c2)CC1,P43681,52.0,,7.284,,Ion Channel,compound_62
O=C(c1ccc([N+](=O)[O-])o1)N1CC2CNCC2C1,P43681,31.0,,7.509,,Ion Channel,compound_63
COc1cc(C(=O)N2CC3CNCC3C2)on1,P43681,19.0,,7.721,,Ion Channel,compound_64
O=C(c1ccc(C#Cc2ccccc2)o1)N1CC2CNCC2C1,P43681,43.0,,7.367,,Ion Channel,compound_65
O=C(c1cc(Br)no1)N1CC2CNCC2C1,P43681,44.0,,7.357,,Ion Channel,compound_66
O=C(c1cc(-c2cc(F)cc(F)c2)co1)N1CC2CNCC2C1,P43681,24.0,,7.62,,Ion Channel,compound_68
O=C(c1cc(-c2ccccc2)co1)N1CC2CNCC2C1,P43681,86.0,,7.066,,Ion Channel,compound_69
O=C(c1cc(-c2ccoc2)co1)N1CC2CNCC2C1,P43681,95.0,,7.022,,Ion Channel,compound_70
Cc1cc(C(=O)N2CC3CNCC3C2)no1,P43681,84.0,,7.076,,Ion Channel,compound_71
Cc1nocc1C(=O)N1CC2CNCC2C1,P43681,14.0,,7.854,,Ion Channel,compound_72
Cc1cc(C(=O)N2CC3CNCC3C2)on1,P43681,31.0,,7.509,,Ion Channel,compound_73
Cc1occc1C(=O)N1CC2CNCC2C1,P43681,29.0,,7.538,,Ion Channel,compound_74
O=CNc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,63.0,,7.201,,Ion Channel,compound_75
COc1ccoc1C(=O)N1CC2CNCC2C1,P43681,100.0,,7.0,,Ion Channel,compound_76
Cc1cc(C(F)(F)F)c(C(=O)N2CC3CNCC3C2)o1,P43681,45.0,,7.347,,Ion Channel,compound_77
O=C(c1cc(C(F)(F)F)co1)N1CC2CNCC2C1,P43681,36.0,,7.444,,Ion Channel,compound_78
Nc1coc(C(=O)N2CC3CNCC3C2)c1,P43681,28.0,,7.553,,Ion Channel,compound_79
C=Cc1ccoc1C(=O)N1CC2CNCC2C1,P43681,51.0,,7.292,,Ion Channel,compound_81
CCCCC#Cc1coc(C(=O)N2CC3CNCC3C2)c1,P43681,21.0,,7.678,,Ion Channel,compound_82
O=C(c1cc(Br)c(Br)o1)N1CC2CNCC2C1,P43681,4.9,,8.31,,Ion Channel,compound_83
[C-]#[N+]c1ccoc1C(=O)N1CC2CNCC2C1,P43681,14.0,,7.854,,Ion Channel,compound_84
O=C(c1ccon1)N1CC2CNCC2C1,P43681,90.0,,7.046,,Ion Channel,compound_85
C#Cc1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,48.0,,7.319,,Ion Channel,compound_86
[C-]#[N+]c1ccc(C(=O)N2CC3CNCC3C2)o1,P43681,40.0,,7.398,,Ion Channel,compound_87
Cc1cc(F)c(C(=O)N2CC3CNCC3C2)o1,P43681,14.0,,7.854,,Ion Channel,compound_88
O=C(c1coc(C(F)F)c1)N1CC2CNCC2C1,P43681,130.0,,6.886,,Ion Channel,compound_89
O=C(c1cc(Br)no1)N1CC2CNCC(C2)C1,P43681,18.0,,7.745,,Ion Channel,compound_91
CC(=O)Nc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,210.0,,6.678,,Ion Channel,compound_92
Cc1cc(C(=O)N2CC3CNCC(C3)C2)no1,P43681,96.0,,7.018,,Ion Channel,compound_93
Cc1ncoc1C(=O)N1CC2CNCC(C2)C1,P43681,64.0,,7.194,,Ion Channel,compound_94
Cc1nocc1C(=O)N1CC2CNCC(C2)C1,P43681,21.0,,7.678,,Ion Channel,compound_95
Cc1cc(C(=O)N2CC3CNCC(C3)C2)on1,P43681,47.0,,7.328,,Ion Channel,compound_96
O=C(c1cc(C2CC2)on1)N1CC2CNCC(C2)C1,P43681,83.0,,7.081,,Ion Channel,compound_97
Nc1coc(C(=O)N2CC3CNCC(C3)C2)c1,P43681,62.0,,7.208,,Ion Channel,compound_98
O=C(c1cc(-c2cc(F)cc(F)c2)co1)N1CC2CNCC(C2)C1,P43681,23.0,,7.638,,Ion Channel,compound_99
O=C(c1cc(-c2ccoc2)co1)N1CC2CNCC(C2)C1,P43681,35.0,,7.456,,Ion Channel,compound_100
O=C(c1cc(Br)c(Br)o1)N1CC2CNCC(C2)C1,P43681,1.6,,8.796,,Ion Channel,compound_101
Cc1oc(C(=O)N2CC3CNCC(C3)C2)cc1Br,P43681,5.2,,8.284,,Ion Channel,compound_103
COc1ccoc1C(=O)N1CC2CNCC(C2)C1,P43681,28.0,,7.553,,Ion Channel,compound_104
O=C(c1cnco1)N1CC2CNCC(C2)C1,P43681,26.0,,7.585,,Ion Channel,compound_105
C#Cc1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,47.0,,7.328,,Ion Channel,compound_106
[C-]#[N+]c1ccc(C(=O)N2CC3CNCC(C3)C2)o1,P43681,8.7,,8.06,,Ion Channel,compound_107
Cc1cc(F)c(C(=O)N2CC3CNCC(C3)C2)o1,P43681,62.0,,7.208,,Ion Channel,compound_108
O=C(c1ncco1)N1CC2CNCC(C2)C1,P43681,85.0,,7.071,,Ion Channel,compound_109
[C-]#[N+]c1coc(C(=O)N2CC3CNCC(C3)C2)c1,P43681,23.0,,7.638,,Ion Channel,compound_110
