canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,P30531,32.42,196.6266666666667,7.489,6.706,Transporter,compound_0
Cc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,14.79,,7.83,,Transporter,compound_5
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2Cl)C1,P30531,165.96,,6.78,,Transporter,compound_7
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2Br)C1,P30531,199.765,,6.699,,Transporter,compound_8
Cc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,93.33,,7.03,,Transporter,compound_10
CCc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,102.33,,6.99,,Transporter,compound_11
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2-c2ccccc2)C1,P30531,676.08,,6.17,,Transporter,compound_12
COc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,371.54,,6.43,,Transporter,compound_13
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2ccccc2OC(F)(F)F)C1,P30531,645.65,,6.19,,Transporter,compound_14
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2)c2c(F)cccc2F)C1,P30531,691.83,,6.16,,Transporter,compound_15
Cc1cc(F)ccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,380.19,,6.42,,Transporter,compound_16
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2Cl)C1,P30531,40.74,,7.39,,Transporter,compound_18
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2Br)C1,P30531,28.84,,7.54,,Transporter,compound_19
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2C(F)(F)F)C1,P30531,93.33,,7.03,,Transporter,compound_20
Cc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,20.42,,7.69,,Transporter,compound_21
CCc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,29.51,,7.53,,Transporter,compound_22
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2-c2ccccc2)C1,P30531,1071.52,,5.97,,Transporter,compound_23
COc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,56.23,,7.25,,Transporter,compound_24
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2ccccc2OC(F)(F)F)C1,P30531,58.88,,7.23,,Transporter,compound_25
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2)c2c(F)cccc2F)C1,P30531,331.13,,6.48,,Transporter,compound_26
Cc1cc(F)ccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,33.88,,7.47,,Transporter,compound_27
Cc1cccc(C)c1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1,P30531,77.62,,7.11,,Transporter,compound_28
Cc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,72.44,,7.14,,Transporter,compound_29
CCc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,89.13,,7.05,,Transporter,compound_30
O=C(O)[C@@H]1CCCN(CCC=C(c2ccccc2F)c2ccccc2F)C1,P30531,46.77,,7.33,,Transporter,compound_31
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2F)c2ccccc2Cl)C1,P30531,158.49,,6.8,,Transporter,compound_32
O=C(O)[C@@H]1CCCN(CC/C=C(\c2ccccc2F)c2ccccc2C(F)(F)F)C1,P30531,354.81,,6.45,,Transporter,compound_33
Cc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1Cl,P30531,61.66,,7.21,,Transporter,compound_34
COc1ccccc1/C(=C/CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1C,P30531,70.79,,7.15,,Transporter,compound_36
Cc1ccccc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1ccccc1C,P30531,41.69,,7.38,,Transporter,compound_37
CCc1ccccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,38.02,,7.42,,Transporter,compound_38
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2F)c2ccccc2Cl)C1,P30531,18.2,,7.74,,Transporter,compound_39
O=C(O)[C@@H]1CCCN(CC/C=C(/c2ccccc2F)c2ccccc2OC(F)(F)F)C1,P30531,52.48,,7.28,,Transporter,compound_41
Cc1cc(F)ccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1F,P30531,19.05,,7.72,,Transporter,compound_43
Cc1cc(F)ccc1/C(=C\CCN1CCC[C@@H](C(=O)O)C1)c1ccccc1C(F)(F)F,P30531,38.9,,7.41,,Transporter,compound_44
O=C(O)C1(F)CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,831.76,,6.08,,Transporter,compound_46
CC(=O)[C@@H]1CC[C@H]2CC[C@@H]1N2CCC=C(c1ccccc1)c1ccccc1,P30531,2754.23,,5.56,,Transporter,compound_47
O=C(O)[C@H](O)[C@H]1CCCN1CCC=C(c1ccccc1)c1ccccc1,P30531,3981.035,13803.84,5.4,4.86,Transporter,compound_51
O=C(O)[C@@H](O)[C@H]1CCCN1CCC=C(c1ccccc1)c1ccccc1,P30531,213.9,1905.46,6.67,5.72,Transporter,compound_52
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@@H](O)C(=O)O)c1sccc1C,P30531,1096.24,4168.69,5.96,5.38,Transporter,compound_53
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@H](O)C(=O)O)c1sccc1C,P30531,66.035,724.44,7.18,6.14,Transporter,compound_54
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@@H](N)C(=O)O)c1sccc1C,P30531,20417.19,,4.69,,Transporter,compound_55
Cc1ccsc1C(=CCCN1CCC[C@@H]1[C@H](N)C(=O)O)c1sccc1C,P30531,19054.805,,4.72,,Transporter,compound_56
O=C(O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,72.44,165.0,7.14,6.783,Transporter,compound_58
O=C(O)[C@@H]1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,P30531,72.44,,7.14,,Transporter,compound_77
COc1cccc(C(CN(C)C)C2(O)CCCCC2)c1,P23975,316.0,208.0,6.5,6.682,Transporter,compound_80
COC(=O)c1ccccc1-c1ccc2ccccc2c1,P23975,46700.0,,4.331,,Transporter,compound_81
CC(C)CN(C(=O)c1cccc(C(F)(F)F)c1Cl)[C@H]1CCNC1,P23975,103.0,,6.987,,Transporter,compound_83
CC(C)CN(C(=O)c1cc(Cl)ccc1Cl)[C@H]1CCNC1,P23975,198.0,,6.703,,Transporter,compound_84
CC(C)CN(C(=O)c1cccc(Cl)c1F)[C@H]1CCNC1,P23975,139.0,,6.857,,Transporter,compound_85
CC(C)CN(C(=O)c1ccc(F)cc1Cl)[C@H]1CCNC1,P23975,263.0,,6.58,,Transporter,compound_87
Cc1c(Cl)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,P23975,29.0,,7.538,,Transporter,compound_88
Cc1c(F)cccc1C(=O)N(CC(C)C)[C@H]1CCNC1,P23975,69.0,,7.161,,Transporter,compound_89
CC(C)CN(C(=O)c1ccccc1C(C)C)[C@H]1CCNC1,P23975,65.0,,7.187,,Transporter,compound_91
CC(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@@H]1CCNC1,P23975,169.0,,6.772,,Transporter,compound_92
CCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,217.0,,6.664,,Transporter,compound_93
CC(C)CN(C(=O)c1cc(Cl)cc(Cl)c1)[C@H]1CCNC1,P23975,43.0,,7.367,,Transporter,compound_94
CC(C)CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCNC1,P23975,50.0,,7.301,,Transporter,compound_95
CC(C)CN(C(=O)c1cccc(Cl)c1)[C@H]1CCNC1,P23975,135.0,,6.87,,Transporter,compound_96
O=C(c1cccc(Cl)c1Cl)N(C1=CCOC=C1)[C@H]1CCNC1,P23975,10.0,,8.0,,Transporter,compound_97
O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1,P23975,11.0,,7.959,,Transporter,compound_98
CC(C)CN(C(=O)c1ccc(Cl)cc1Cl)[C@H]1CCNC1,P23975,37.0,,7.432,,Transporter,compound_99
CCCN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,36.0,,7.444,,Transporter,compound_100
O=C(c1cccc(Cl)c1Cl)N(CC(F)(F)F)[C@H]1CCNC1,P23975,95.0,,7.022,,Transporter,compound_102
O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)[C@H]1CCNC1,P23975,24.0,,7.62,,Transporter,compound_103
CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,13.0,,7.886,,Transporter,compound_104
O=C(c1cccc(Cl)c1Cl)N(C1CCCC1)[C@H]1CCNC1,P23975,11.0,,7.959,,Transporter,compound_105
CCC(CC)N(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,P23975,37.0,,7.432,,Transporter,compound_106
CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,P23975,22.0,,7.658,,Transporter,compound_118
Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,P23975,40.0,,7.398,,Transporter,compound_122
Fc1cccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)c1,P23975,30.0,,7.523,,Transporter,compound_123
c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,P23975,22.0,,7.658,,Transporter,compound_127
