canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,P00519,2790.111111111112,41000.0,5.554,4.387,Kinase,compound_0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,P00519,36.0,0.9970588235294118,7.444,9.001,Kinase,compound_5
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,P00519,1445.5555555555557,,5.84,,Kinase,compound_13
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,P00519,75.37333333333332,,7.123,,Kinase,compound_16
COC(=O)c1ccc(Cl)cc1N,P00519,6000.0,,5.222,,Kinase,compound_19
COc1ccccc1-c1c[nH]c2ncc(-c3cncc(C(=O)N(C)C)c3)cc12,P00519,20.0,,7.699,,Kinase,compound_21
CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,P00519,69.0,,7.161,,Kinase,compound_22
CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,P00519,1600.0,1000.0,5.796,6.0,Kinase,compound_23
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,P00519,195.0,,6.71,,Kinase,compound_24
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,P00519,3771.0,,5.424,,Kinase,compound_25
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,P00519,906.0,,6.043,,Kinase,compound_26
NC(=O)C1CCN(c2ccc(C(F)(F)F)cn2)CC1,P00519,43000.0,,4.367,,Kinase,compound_30
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,P00519,0.4263888888888889,1181.358,9.37,5.928,Kinase,compound_31
CSc1nc(NCc2cccc(Br)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,P00519,64.0,,7.194,,Kinase,compound_33
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,P00519,45.15,261.5214285714286,7.345,6.582,Kinase,compound_34
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,P00519,1160.0,,5.936,,Kinase,compound_36
