target_uniprot,human_gene,soc_abbr,soc_name,community_module,association_class,evidence_grade,assignment_method,secondary_rank,visualization_score,direct_support_classes,direct_association_terms,direct_references,do_not_treat_as_direct_adr_evidence,within_target_network_rank,network_percentile,soc_candidate_rank,selection_basis,community_direct_seed_count,community_direct_pair_total,community_soc_fraction,community_soc_rank,dominant_diffusion_seed,strongest_direct_seed_neighbor,shortest_path_hops_to_direct_seed
O00408,PDE2A,CAR,Cardiac disorders,M1,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.6813988095238095,,,,True,0.9375,0.1700680272108843,20.0,target top-2,7.0,24.0,0.2589285714285714,1.0,PDE3A,PDE3A,1.0
O00408,PDE2A,VAS,Vascular disorders,M1,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.6265737410071942,,,,True,0.875,0.1294964028776978,47.0,target top-2,6.0,24.0,0.2232142857142857,0.9375,PDE3A,PDE3A,1.0
O14733,MAP2K7,HEP,Hepatobiliary disorders,M4,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.7734291443850267,,,,True,1.0,0.5133689839572193,19.0,target top-2,2.0,33.0,0.0608108108108108,0.71875,AR,,2.0
O14733,MAP2K7,NER,Nervous system disorders,M4,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.7125,,,,True,0.9375,0.3125,38.0,target top-2,5.0,33.0,0.1418918918918918,0.90625,GSK3A,GSK3B,1.0
O14965,AURKA,HEP,Hepatobiliary disorders,M4,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.8857286096256685,,,,True,1.0,0.8342245989304813,9.0,target top-2,2.0,33.0,0.0608108108108108,0.71875,AR,AR,1.0
O14965,AURKA,REP,Reproductive system and breast disorders,M4,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.6887019230769231,,,,True,0.9375,0.4945054945054945,20.0,target top-2,1.0,33.0,0.0337837837837837,0.46875,AR,AR,1.0
O43193,MLNR,BLO,Blood and lymphatic system disorders,M2,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.8502777777777778,,,,True,1.0,0.8222222222222222,7.0,target top-2,1.0,33.0,0.0337837837837837,0.5625,UTS2R,EDNRB,1.0
O43193,MLNR,REN,Renal and urinary disorders,M2,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.8462013473053892,,,,True,0.9375,0.6766467065868264,5.0,SOC minimum-15 + target top-2,7.0,33.0,0.1959459459459459,0.9375,UTS2R,AGTR2,1.0
O43613,HCRTR1,PSY,Psychiatric disorders,M3,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.784375,,,,True,0.9375,0.5,13.0,SOC minimum-15 + target top-2,6.0,26.0,0.2083333333333333,0.9375,CNR1,CNR1,1.0
O43613,HCRTR1,SKI,Skin and subcutaneous tissue disorders,M3,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.7601604278074867,,,,True,1.0,0.7433155080213903,10.0,SOC minimum-15 + target top-2,0.0,26.0,0.0083333333333333,0.25,SLC6A3,SLC6A3,1.0
O43614,HCRTR2,REP,Reproductive system and breast disorders,M8,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.6581730769230769,,,,True,0.875,0.2197802197802197,22.0,target top-2,4.0,27.0,0.1370967741935483,0.9375,TACR2,,2.0
O43614,HCRTR2,END,Endocrine disorder,M8,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.5871527777777777,,,,True,0.9375,0.2222222222222222,28.0,target top-2,1.0,27.0,0.0403225806451612,0.4375,GHSR,GHSR,1.0
O75116,ROCK2,IMM,Immune system disorders,M6,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.753125,,,,True,0.9375,0.375,28.0,target top-2,17.0,93.0,0.1778350515463917,1.0,LCK,LCK,1.0
O75116,ROCK2,HEP,Hepatobiliary disorders,M6,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.6440842245989304,,,,True,1.0,0.46524064171123,34.0,target top-2,0.0,93.0,0.0025773195876288,0.15625,AR,,2.0
O75899,GABBR2,NER,Nervous system disorders,M9,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,1.0,0.913671875,,,,True,0.875,0.9140625,6.0,target top-2,7.0,39.0,0.1686046511627907,1.0,CALCRL,GABRA1,1.0
O75899,GABBR2,MET,Metabolism and nutrition disorders,M9,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,2.0,0.8156249999999999,,,,True,1.0,0.9375,6.0,SOC minimum-15 + target top-2,0.0,39.0,0.005813953488372,0.1875,CALCRL,CALCRL,1.0
O75899,GABBR2,MUS,Musculoskeletal and connective tissue disorders,M9,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,7.0,0.7656601123595506,,,,True,0.625,0.848314606741573,12.0,SOC minimum-15,6.0,39.0,0.1453488372093023,0.9375,GABRA1,GABRA1,1.0
O75899,GABBR2,CAR,Cardiac disorders,M9,network visualization secondary,visualization-only functional context,random walk + within-target specificity + community SOC enrichment,8.0,0.6998511904761904,,,,True,0.5625,0.8299319727891157,14.0,SOC minimum-15,4.0,39.0,0.0988372093023255,0.78125,CALCRL,CALCRL,1.0
