target_family,model,RMSE,PCC,Spearman,R2
GPCR,GraphDTA,0.812,0.792,0.781,0.622
GPCR,BACPI,0.817,0.794,0.788,0.617
GPCR,PMF-CPI,0.713,0.845,0.837,0.708
GPCR,PreMOTA (from-scratch),0.663,0.869,0.864,0.748
GPCR,PreMOTA (fine-tuned),0.642600029706955,0.8771918091154263,0.8724868721782439,0.7635403573513031
Ion channel,GraphDTA,0.774,0.827,0.831,0.676
Ion channel,BACPI,0.704,0.86,0.864,0.734
Ion channel,PMF-CPI,0.731,0.85,0.852,0.712
Ion channel,PreMOTA (from-scratch),0.689,0.866,0.873,0.746
Ion channel,PreMOTA (fine-tuned),0.6474990844726562,0.8869496340323573,0.8932113352358361,0.774711549282074
Enzyme,GraphDTA,0.856,0.854,0.832,0.696
Enzyme,BACPI,0.803,0.86,0.843,0.733
Enzyme,PMF-CPI,0.771,0.87,0.852,0.756
Enzyme,PreMOTA (from-scratch),0.653,0.909,0.894,0.824
Enzyme,PreMOTA (fine-tuned),0.6299927830696106,0.916576520785818,0.9037040360543191,0.8363178372383118
Kinases,GraphDTA,0.803,0.809,0.801,0.656
Kinases,BACPI,0.789,0.825,0.814,0.672
Kinases,PMF-CPI,0.739,0.85,0.842,0.714
Kinases,PreMOTA (from-scratch),0.709,0.863,0.856,0.738
Kinases,PreMOTA (fine-tuned),0.689015805721283,0.8719213748359591,0.8671401878485316,0.7517609596252441
NR,GraphDTA,0.853,0.799,0.794,0.591
NR,BACPI,0.777,0.818,0.814,0.659
NR,PMF-CPI,0.792,0.815,0.807,0.647
NR,PreMOTA (from-scratch),0.733,0.836,0.84,0.697
NR,PreMOTA (fine-tuned),0.6237070560455322,0.8864767113440686,0.8826030020795523,0.781178206205368
Transporter,GraphDTA,0.734,0.811,0.798,0.651
Transporter,BACPI,0.709,0.827,0.82,0.675
Transporter,PMF-CPI,0.704,0.827,0.82,0.679
Transporter,PreMOTA (from-scratch),0.681,0.839,0.829,0.699
Transporter,PreMOTA (fine-tuned),0.5862402319908142,0.8843104815987246,0.874765979060047,0.7772688269615173
Other,GraphDTA,0.705,0.785,0.762,0.611
Other,BACPI,0.68,0.807,0.791,0.64
Other,PMF-CPI,0.695,0.793,0.785,0.621
Other,PreMOTA (from-scratch),0.744,0.753,0.742,0.561
Other,PreMOTA (fine-tuned),0.5568099617958069,0.8792362417202122,0.8664170861561802,0.7584612965583801
