figure,panel,archived_source,reuse_level,current_script
Figure 2,a,Supplementary Table 9 and manuscript Methods,build anew from original counts,figure_2/scripts/plot_panel_a.py
Figure 2,b,Supplementary Table 9 and manuscript Methods,build anew from original counts,figure_2/scripts/plot_panel_b.py
Figure 2,c,picture_draw_new.ipynb,structural adaptation of joint scatter and marginal histograms,figure_2/scripts/plot_panel_c.py
Figure 2,d,result_compare_models.ipynb,structural adaptation of grouped benchmark bars,figure_2/scripts/plot_panel_d.py
Figure 2,e,archived seven-compound hERG prediction table,clean implementation retaining original numerical analysis,figure_2/scripts/plot_panel_e.py
Figure 2,f,archived seven-compound hERG prediction table,clean implementation retaining original table values,figure_2/scripts/plot_panel_f.py
Supplementary Figure 2,a,pretraining protein sequence file,build anew from original sequences,supplementary_figure_2/scripts/plot_panel_a.py
Supplementary Figure 2,b,V100 PreMOTA all_cpi_data_pro_final2.csv,grouped by uniprot_id with total-count validation,supplementary_figure_2/scripts/plot_panel_b.py
Supplementary Figure 2,c,manuscript Methods counts,build anew from reported counts,supplementary_figure_2/scripts/plot_panel_c.py
Supplementary Figure 2,d,manuscript Methods counts,build anew from reported counts,supplementary_figure_2/scripts/plot_panel_d.py
Supplementary Figure 3,a,train_loss.ipynb,structural adaptation of training and validation curves,supplementary_figure_3/scripts/plot_panel_a.py
Supplementary Figure 3,b,result_compare_models_class.ipynb,structural adaptation of grouped classification bars,supplementary_figure_3/scripts/plot_panel_b.py
Supplementary Figure 3,c,result_compare_models_class.ipynb,structural adaptation of grouped classification bars,supplementary_figure_3/scripts/plot_panel_c.py
Supplementary Figure 3,d,result_compare_models_class.ipynb,structural adaptation of grouped classification bars,supplementary_figure_3/scripts/plot_panel_d.py
Supplementary Figure 4,a-f,picture_draw_new.ipynb,structural adaptation of joint scatter and marginal histograms,supplementary_figure_4/scripts/plot_panel_a.py through plot_panel_f.py

