target_family,model,metric,si_reported,a100_workbook,array_recalculated,abs_diff_si_workbook,abs_diff_si_array,status
GPCR,GraphDTA,RMSE,0.812,0.812,,0.0,,consistent
GPCR,GraphDTA,PCC,0.792,0.792,,0.0,,consistent
GPCR,GraphDTA,Spearman,0.781,0.781,,0.0,,consistent
GPCR,GraphDTA,R2,0.622,0.622,,0.0,,consistent
GPCR,BACPI,RMSE,0.817,0.817,,0.0,,consistent
GPCR,BACPI,PCC,0.794,0.794,,0.0,,consistent
GPCR,BACPI,Spearman,0.788,0.788,,0.0,,consistent
GPCR,BACPI,R2,0.617,0.617,,0.0,,consistent
GPCR,PMF-CPI,RMSE,0.713,0.713,,0.0,,consistent
GPCR,PMF-CPI,PCC,0.845,0.845,,0.0,,consistent
GPCR,PMF-CPI,Spearman,0.837,0.837,,0.0,,consistent
GPCR,PMF-CPI,R2,0.708,0.708,,0.0,,consistent
GPCR,PreMOTA (from-scratch),RMSE,0.663,0.663,,0.0,,consistent
GPCR,PreMOTA (from-scratch),PCC,0.869,0.869,,0.0,,consistent
GPCR,PreMOTA (from-scratch),Spearman,0.864,0.864,,0.0,,consistent
GPCR,PreMOTA (from-scratch),R2,0.748,0.748,,0.0,,consistent
GPCR,PreMOTA (fine-tuned),RMSE,0.643,0.643,0.642600029706955,0.0,0.00039997029304505993,consistent
GPCR,PreMOTA (fine-tuned),PCC,0.877,0.877,0.8771918091154263,0.0,0.00019180911542626689,consistent
GPCR,PreMOTA (fine-tuned),Spearman,0.872,0.872,0.8724868721782439,0.0,0.0004868721782439467,consistent
GPCR,PreMOTA (fine-tuned),R2,0.764,0.764,0.7635403573513031,0.0,0.00045964264869691185,consistent
Ion channel,GraphDTA,RMSE,0.774,0.774,,0.0,,consistent
Ion channel,GraphDTA,PCC,0.827,0.827,,0.0,,consistent
Ion channel,GraphDTA,Spearman,0.831,0.831,,0.0,,consistent
Ion channel,GraphDTA,R2,0.676,0.676,,0.0,,consistent
Ion channel,BACPI,RMSE,0.704,0.704,,0.0,,consistent
Ion channel,BACPI,PCC,0.86,0.86,,0.0,,consistent
Ion channel,BACPI,Spearman,0.864,0.864,,0.0,,consistent
Ion channel,BACPI,R2,0.734,0.734,,0.0,,consistent
Ion channel,PMF-CPI,RMSE,0.731,0.731,,0.0,,consistent
Ion channel,PMF-CPI,PCC,0.85,0.85,,0.0,,consistent
Ion channel,PMF-CPI,Spearman,0.852,0.852,,0.0,,consistent
Ion channel,PMF-CPI,R2,0.712,0.712,,0.0,,consistent
Ion channel,PreMOTA (from-scratch),RMSE,0.689,0.689,,0.0,,consistent
Ion channel,PreMOTA (from-scratch),PCC,0.866,0.866,,0.0,,consistent
Ion channel,PreMOTA (from-scratch),Spearman,0.873,0.873,,0.0,,consistent
Ion channel,PreMOTA (from-scratch),R2,0.746,0.746,,0.0,,consistent
Ion channel,PreMOTA (fine-tuned),RMSE,0.647,0.647,0.6474990844726562,0.0,0.0004990844726562305,consistent
Ion channel,PreMOTA (fine-tuned),PCC,0.887,0.887,0.8869496340323573,0.0,5.036596764274037e-05,consistent
Ion channel,PreMOTA (fine-tuned),Spearman,0.893,0.893,0.8932113352358361,0.0,0.00021133523583605207,consistent
Ion channel,PreMOTA (fine-tuned),R2,0.775,0.775,0.774711549282074,0.0,0.0002884507179260476,consistent
Enzyme,GraphDTA,RMSE,0.856,0.856,,0.0,,consistent
Enzyme,GraphDTA,PCC,0.854,0.854,,0.0,,consistent
Enzyme,GraphDTA,Spearman,0.832,0.832,,0.0,,consistent
