slide,filename,page_width_px,page_height_px,content_bbox,crop_bbox,output_width_px,output_height_px,dpi,padding_inches
1,Figure_1.tiff,4500,8000,"(269, 1039, 4193, 5508)","(149, 919, 4313, 5628)",4164,4709,600,0.2
2,Figure_2.tiff,4500,8000,"(59, 454, 4388, 6595)","(0, 334, 4500, 6715)",4500,6381,600,0.2
3,Figure_3.tiff,4500,8000,"(131, 943, 4454, 4650)","(11, 823, 4500, 4770)",4489,3947,600,0.2
4,Figure_4.tiff,4500,8000,"(63, 105, 4441, 6490)","(0, 0, 4500, 6610)",4500,6610,600,0.2
5,Figure_5.tiff,4500,8000,"(105, 48, 4446, 5836)","(0, 0, 4500, 5956)",4500,5956,600,0.2
6,Figure_6.tiff,4500,8000,"(64, 1266, 4280, 6696)","(0, 1146, 4400, 6816)",4400,5670,600,0.2
7,Supplementary_Figure_1.tiff,4500,8000,"(120, 1033, 4162, 7268)","(0, 913, 4282, 7388)",4282,6475,600,0.2
8,Supplementary_Figure_2.tiff,4500,8000,"(196, 671, 4399, 3589)","(76, 551, 4500, 3709)",4424,3158,600,0.2
9,Supplementary_Figure_3.tiff,4500,8000,"(128, 601, 4096, 3669)","(8, 481, 4216, 3789)",4208,3308,600,0.2
10,Supplementary_Figure_4.tiff,4500,8000,"(77, 99, 2883, 4199)","(0, 0, 3003, 4319)",3003,4319,600,0.2
11,Supplementary_Figure_5.tiff,4500,8000,"(110, 1330, 4369, 3190)","(0, 1210, 4489, 3310)",4489,2100,600,0.2
12,Supplementary_Figure_6.tiff,4500,8000,"(54, 894, 4107, 5881)","(0, 774, 4227, 6001)",4227,5227,600,0.2
13,Supplementary_Figure_7.tiff,4500,8000,"(76, 819, 4381, 5297)","(0, 699, 4500, 5417)",4500,4718,600,0.2
14,Supplementary_Figure_8.tiff,4500,8000,"(105, 247, 4359, 2339)","(0, 127, 4479, 2459)",4479,2332,600,0.2
