scheme,bin,model,n,true_ppb_mean,pred_ppb_mean,bias_pp,mae_pp,median_ae_pp,rmse_pp,pearson,spearman,overpredict_gt10_fraction,underpredict_gt10_fraction
coarse,0-40,Original MotifAttnNet 5-seed ensemble,68,17.919602941176464,55.11137203564784,37.19176909447137,37.666305101221674,34.7086933474023,45.576629437983684,0.0486548349826068,0.05903467585526617,0.8529411764705882,0.0
coarse,0-40,New downstream-aware full model 5-seed ensemble,68,17.919602941176464,44.476290206589226,26.55668726541278,28.654260223190402,23.7612447194154,37.26027220987017,0.19585446800576412,0.27478235928492584,0.6911764705882353,0.04411764705882353
coarse,40-80,Original MotifAttnNet 5-seed ensemble,148,61.671709459459464,71.77193839544647,10.100228935987005,18.08773876020666,16.24969093815641,21.680751870532916,0.2597733393496166,0.21572486771495583,0.5337837837837838,0.16216216216216217
coarse,40-80,New downstream-aware full model 5-seed ensemble,148,61.671709459459464,67.58662132319148,5.914911863732018,16.90546957570647,16.03847370649689,21.18214191651303,0.2693992253906635,0.21598960850726676,0.3918918918918919,0.19594594594594594
coarse,80-100,Original MotifAttnNet 5-seed ensemble,566,94.93585512367491,93.13768658834879,-1.7981685353261163,4.501904355696681,1.9346336325080244,7.753227906672595,0.4584394780829998,0.6446538321674636,0.024734982332155476,0.10070671378091872
coarse,80-100,New downstream-aware full model 5-seed ensemble,566,94.93585512367491,91.13517542674846,-3.8006796969264514,5.696438762477745,2.6691633296491517,10.026143160352769,0.40665183304494734,0.6269541495031257,0.015901060070671377,0.15547703180212014
detailed,0-40,Original MotifAttnNet 5-seed ensemble,68,17.919602941176464,55.11137203564784,37.19176909447137,37.666305101221674,34.7086933474023,45.576629437983684,0.0486548349826068,0.05903467585526617,0.8529411764705882,0.0
detailed,0-40,New downstream-aware full model 5-seed ensemble,68,17.919602941176464,44.476290206589226,26.55668726541278,28.654260223190402,23.7612447194154,37.26027220987017,0.19585446800576412,0.27478235928492584,0.6911764705882353,0.04411764705882353
detailed,40-80,Original MotifAttnNet 5-seed ensemble,148,61.671709459459464,71.77193839544647,10.100228935987005,18.08773876020666,16.24969093815641,21.680751870532916,0.2597733393496166,0.21572486771495583,0.5337837837837838,0.16216216216216217
detailed,40-80,New downstream-aware full model 5-seed ensemble,148,61.671709459459464,67.58662132319148,5.914911863732018,16.90546957570647,16.03847370649689,21.18214191651303,0.2693992253906635,0.21598960850726676,0.3918918918918919,0.19594594594594594
detailed,80-90,Original MotifAttnNet 5-seed ensemble,97,85.52735051546392,87.39894668390258,1.871596168438668,8.210513601418182,7.237720918109233,10.204383266809362,0.21940629138650364,0.18112084186676528,0.14432989690721648,0.13402061855670103
detailed,80-90,New downstream-aware full model 5-seed ensemble,97,85.52735051546392,85.34803481139228,-0.17931570407164557,7.9125562628242,6.05677261277404,10.411739543074114,0.21151439696115498,0.19183809037388333,0.09278350515463918,0.18556701030927836
detailed,90-95,Original MotifAttnNet 5-seed ensemble,104,92.75759615384617,89.78457441575236,-2.9730217380937893,6.329597606804406,3.94144420616432,9.429424491143495,0.2015325515346697,0.1510672378764683,0.0,0.17307692307692307
detailed,90-95,New downstream-aware full model 5-seed ensemble,104,92.75759615384617,87.24001697627052,-5.517579177575637,7.531639930717916,4.446794656472235,11.31759567097423,0.23457451120979306,0.20996301369203876,0.0,0.25
detailed,95-99,Original MotifAttnNet 5-seed ensemble,226,97.15747345132743,94.15349020373849,-3.00398324758895,3.8625301374563232,1.4462077767694979,7.6330206027251375,0.21948690468516419,0.28296303374205684,0.0,0.10176991150442478
detailed,95-99,New downstream-aware full model 5-seed ensemble,226,97.15747345132743,91.78315715428876,-5.374316297038664,5.848423983205569,2.541876324559027,11.341979955596555,0.16823604628398886,0.28552734236601324,0.0,0.16371681415929204
detailed,99-100,Original MotifAttnNet 5-seed ensemble,139,99.51915107913669,97.99962773657356,-1.5195233425631356,1.58595743751058,0.6033081372534923,3.29447351318367,0.3274199954525013,0.486720396046195,0.0,0.02158273381294964
detailed,99-100,New downstream-aware full model 5-seed ensemble,139,99.51915107913669,97.0344937585121,-2.484657320624587,2.5297266839520414,1.0022164592960507,5.355830667237686,0.2776683153328961,0.46042197486824965,0.0,0.050359712230215826
