figure_id,display_drug,task_name,adr_short,dose_mg_day,target_index,target_id,target_gene,adr_evidence_linked,robust_delta_mean,robust_delta_min,robust_delta_max,delta_sd_across_folds_and_backgrounds,min_positive_fold_fraction,predicted_pac50,direction_consistent_across_backgrounds,robust_positive,rank_within_case_dose
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,0,P35414,APLNR,False,-0.032524394989013675,-0.09776641130447387,0.03271762132644653,0.09161999574022815,0.2,5.739160537719727,False,False,163.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,1,P24530,EDNRB,True,0.16700808852910995,0.10484876930713653,0.22916740775108338,0.13292759436911744,1.0,5.7455949783325195,True,True,30.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,2,P30518,AVPR2,False,0.017614486813545216,-0.12561358213424684,0.16084255576133727,0.13367567863951457,0.2,5.878210067749023,False,False,122.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,3,P35346,SSTR5,False,-0.18588078022003174,-0.18895750045776366,-0.18280405998229982,0.17911337595419022,0.0,7.293551445007324,True,False,191.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,4,Q9Y271,CYSLTR1,False,0.1897653877735138,0.13950899243354797,0.2400217831134796,0.16181391684093166,1.0,7.663657188415527,True,True,21.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,5,P34998,CRHR1,False,0.06645455956459045,-0.009477722644805908,0.1423868417739868,0.09329800931371805,0.2,6.054694175720215,False,False,72.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,6,P30874,SSTR2,False,-0.04610707461833954,-0.09556450843811035,0.0033503592014312742,0.08751218225810396,0.4,6.0572509765625,False,False,169.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,7,P34995,PTGER1,False,0.18912062048912048,0.12014378905296326,0.2580974519252777,0.118530243713015,1.0,6.754361152648926,True,True,23.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,8,P08173,CHRM4,False,-0.003625509142875672,-0.052940309047698975,0.04568929076194763,0.06533297099665816,0.2,5.615859031677246,False,False,144.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,9,P30988,CALCR,False,0.2801851645112038,0.23120052516460418,0.32916980385780337,0.11850195569746128,1.0,7.126184463500977,True,True,8.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,10,P41595,HTR2B,False,0.1892174080014229,0.13503669798374177,0.243398118019104,0.1389548656667369,1.0,6.764458656311035,True,True,22.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,11,P35408,PTGER4,False,0.053895425796508786,-0.00043548941612243653,0.10822634100914001,0.09810856566766112,0.8,6.241223335266113,False,False,81.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,12,P21918,DRD5,False,-0.028842386603355405,-0.1037693440914154,0.04608457088470459,0.14191190708205081,0.2,7.6947526931762695,False,False,159.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,13,P31391,SSTR4,False,-0.005235102772712708,-0.053376078605651855,0.04290587306022644,0.12500781988793752,0.4,5.980873107910156,False,False,145.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,14,P30968,GNRHR,False,0.26606560945510865,0.22914674282073974,0.30298447608947754,0.1643644126875173,1.0,8.248815536499023,True,True,9.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,15,P08913,ADRA2A,True,0.1113584741950035,0.04472766518592834,0.17798928320407867,0.10329219493256953,1.0,6.276252746582031,True,True,52.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,16,Q13639,HTR4,False,0.06486513614654542,-0.014252060651779174,0.14398233294487,0.07100254472318296,0.0,6.294434547424316,False,False,74.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,17,P43116,PTGER2,False,-0.020959219336509703,-0.04487545490264892,0.0029570162296295166,0.06532623732322825,0.4,5.643002510070801,False,False,156.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,18,P37288,AVPR1A,True,0.02008581459522247,-0.09602468013763428,0.13619630932807922,0.10537435352240394,0.0,5.38242244720459,False,False,117.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,19,P28222,HTR1B,False,-0.009676516056060791,-0.0217926025390625,0.002439570426940918,0.23100191576354795,0.2,6.364528656005859,False,False,151.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,20,P32238,CCKAR,False,0.41177181303501126,0.30586195588111875,0.5176816701889038,0.14303782046225436,1.0,8.681168556213379,True,True,1.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,21,P18825,ADRA2C,False,0.08834624886512756,0.023229825496673583,0.15346267223358154,0.07852606938324867,1.0,6.003702163696289,True,True,62.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,22,P30872,SSTR1,False,0.18340417444705964,0.12430987358093262,0.24249847531318663,0.1379636992632849,1.0,5.629814147949219,True,True,25.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,23,P47901,AVPR1B,False,0.09300151616334915,0.012329566478729247,0.17367346584796906,0.1179080164845679,1.0,5.99775505065918,True,True,60.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,24,P25021,HRH2,False,0.023440213501453398,-0.0051467597484588625,0.05202718675136566,0.04876625750258779,0.2,5.440595626831055,False,False,115.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,25,P18089,ADRA2B,False,0.0115263894200325,-0.07385110855102539,0.09690388739109039,0.07753934850654538,0.0,5.674581527709961,False,False,126.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,26,P48039,MTNR1A,False,0.0032405078411102285,-0.018954092264175416,0.025435107946395873,0.0834448254500926,0.4,6.555442810058594,False,False,137.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,27,P49286,MTNR1B,False,0.024925054609775545,-0.09363569021224975,0.14348579943180084,0.11579045499965387,0.2,5.563857078552246,False,False,113.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,28,P43088,PTGFR,False,0.06610754132270813,0.01838262677192688,0.11383245587348938,0.09729917032508802,0.8,6.432647705078125,True,True,73.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,29,P41146,OPRL1,False,-0.032459488511085516,-0.045124280452728274,-0.01979469656944275,0.08258393555743435,0.4,6.617714881896973,True,False,162.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,30,P32745,SSTR3,False,0.1590256169438362,0.10667840540409088,0.21137282848358155,0.13589224034367997,1.0,5.895050048828125,True,True,33.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,31,P08912,CHRM5,False,0.05874516367912293,-0.028587603569030763,0.1460779309272766,0.08156658884499624,0.0,5.888788223266602,False,False,78.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,32,P21728,DRD1,True,0.04604032933712006,0.004884767532348633,0.08719589114189148,0.13054905906604194,0.6,7.431306838989258,True,False,88.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,33,Q9UBS5,GABBR1,False,0.1925960198044777,0.15377255976200105,0.23141947984695435,0.18387454846883475,0.8,7.952672004699707,True,True,20.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,34,P07550,ADRB2,False,-0.09665296077728272,-0.11946408152580261,-0.07384184002876282,0.16088361092214792,0.2,6.765226364135742,True,False,183.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,35,P61073,CXCR4,False,0.07059282660484315,-0.017634081840515136,0.15881973505020142,0.10113480041047293,0.0,5.4619245529174805,False,False,69.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,36,P08172,CHRM2,False,-0.060071715712547304,-0.09633820056915283,-0.023805230855941772,0.06555700728855196,0.2,6.378812789916992,True,False,173.0
candesartan,CANDESARTAN CILEXETIL,Renal and urinary disorders,Renal,4.0,37,P08588,ADRB1,False,-0.018855956196784974,-0.022980135679244996,-0.014731776714324952,0.07192375691956292,0.0,6.1812238693237305,True,False,155.0
