target_id,compound_count
A0A024AXB9,296
A0A024B7W1,1
A0A045ISB3,275
A0A059UE90,77
A0A060INS8,49
A0A072ZLE6,23
A0A080SPQ8,2
A0A087WW23,173
A0A0B4J268,232
A0A0B7LH44,10
A0A0C5PRQ1,10
A0A0C7ACN7,62
A0A0D1DYD5,41
A0A0D9R315,1
A0A0E7NXW5,8
A0A0G2K344,68
A0A0H2UPP7,3
A0A0H2UQD0,2
A0A0H4FQ60,2
A0A0K2E2J2,15
A0A0R4IM31,11
A0A0S4TER9,26
A0A0T9WNE5,20
A0A113T0T6,8
A0A143MHK7,45
A0A173Z7B1,3
A0A1D5QZY8,2
A0A1D8D5K2,42
A0A1I7V8J2,1
A0A1U8CD06,1
A0A286XTF2,17
A0A2J8P2M1,47
A0A2R8YG87,37
A0A2S9PM60,26
A0A380PJR2,3
A0A3F3IEK2,17
A0A3N4B635,12
A0A5G2RFL7,13
A0A6L0XH39,20
A0A6L8P2U9,34
A0A6L8Q2B7,30
A0A8C0LZB8,2
A0A8C0QLS2,6
A0A8C0THM6,2
A0A8I3N393,2
A0A8I3NDW2,4
A0A8I3NP04,2
A0AVT1,20
A0EPY1,17
A0JN73,8
A0MJA4,7
A0MJA5,7
A0QNE0,47
A0QVH7,4
A0R607,1
A0R666,3
A0SYQ0,12
A0T123,2
A0ZX81,4
A1E3K9,6
A1L3X0,4
A1XG20,45
A1YYP7,2
A1Z199,1
A1Z1Q3,5
A1ZA98,23
A2AGL3,2
A2APX8,8
A2RI47,18
A2RP81,12
A2TEF2,8
A3EZJ3,1422
A3FFR5,8
A3FPL9,1
A3FQ79,1
A3KMY8,223
A3M3H0,5
A3QR02,2
A3RGC1,2
A3RLP8,27
A4D1B5,2
A4GTP0,10
A4HSF7,102
A4I591,522
A4IFJ5,72
A4KCT8,4
A4Q9F0,1
A4TVL0,32
A4XI97,3
A4ZYU9,12
A5A4K8,191
A5A4K9,2
A5D7B7,54
A5D7T0,3
A5GZW8,1
A5H660,319
A5K1A2,3
A5PKW4,145
A5U4N0,2
A5Z1V5,19
A5Z252,67
A6H249,2
A6NNY8,2
A6QP37,27
A6QR73,9
A6T4N4,1
A6T4N9,3
A6XA80,824
A6YCJ1,77
A7L861,4
A7MBE0,12
A7MCY6,1
A7XBP7,1
A8DS27,42
A8K2H7,5
A8MPY1,5
A8NS89,15
A8PUY1,9
A8Q2D1,10
A8RR46,6
A9CPF9,135
A9JQL9,90
A9QW74,2
A9UEZ6,200
A9X4R8,2
A9XFY4,150
B0BNF9,2
B0FL73,469
B0K020,5
B0KZK1,1
B0LPN4,1
B0R470,1
B1AH88,1
B1JQH1,4
B1JRQ0,22
B1LDF1,2
B1LEI7,7
B1LRJ1,4
B2GV46,57
B2LUN4,91
B2RLK2,98
B2RQC6,6
B2RXC2,189
B2RXH2,188
B2RY04,3
B2ZB02,1
B2ZTR6,8
B3DH72,13
B3TNN2,1
B3VTJ2,10
B4EB35,2
B4EH87,27
B4F110,1
B4FS76,18
B4URE7,9
B4URF0,796
B4URF7,375
B5ATN6,44
B5DF27,6
B5DFE2,1
B5SU02,55
B5THE3,40
B5U2Z5,8
B5Y1L0,8
B6F061,2
B6TK44,14
B7MNI9,20
B7UJP3,3
B7UPE2,5
B7UUK1,10
B7VU80,1
B8PY99,2
B8Q4Z9,3
B8R6A5,2
B9J3S4,13
B9UM26,1
B9UM29,1
B9V8S1,6
C0HJB3,84
C0IX24,60
C0L093,9
C1KIQ2,28
C3L5T6,104
C3LPU7,5
C3SIU2,44
C3SLB7,28
C3SWJ7,421
C3TDZ2,235
C3TIE2,7
C3TRK2,16
C4LRQ6,18
C4LW95,34
C5ISA2,12
C5IW59,1
C6ARS9,3
C7C422,1339
C9JQD8,6
D0VWV4,2
D1MIX9,8
D2K2A8,3
D2K848,18
D2SSQ3,6
D3W065,6
D3Z7P3,7
D3Z9J1,37
D3ZDM7,4
D3ZFJ0,2
D3ZGQ2,25
D3ZJF9,3
D3ZNG3,2
D3ZUM4,13
D3ZWV0,17
D3ZYL0,1
D4A7K4,4
D4A7K7,5
D4ADR1,11
D5F1R0,12
D5FGE8,3
D5HSX5,2
D5JEH1,14
D6NSM8,8
E1BI31,14
E1BKU0,4
E1BN64,130
E2JF22,3
E2QDN0,18
E2QF15,7
E3UJZ5,46
E5KIY2,2
E9B7X3,1
E9BRC0,1
E9BSI1,160
E9PTA2,2
E9PU00,11
E9PZQ0,1
E9Q4Z2,4
E9Q6R7,62
E9QYP0,3
F0KIP0,4
F0X4H1,1
F1KRD8,12
F1L1D9,17
F1LNR9,6
F1M391,2
F1MN93,5
F1N083,1
F1QCV2,22
F1RRW5,2
F4KU78,5
F4MUJ9,3
F5A8F7,1
F5BCZ9,16
F6ZDS4,2
F7HEV7,10
F8V479,4
G1C7A4,8
G1FEK8,13
G1SGC5,6
G1SVH0,2
G1T8E2,107
G2YM83,24
G3FIN0,2
G3HDX1,5
G3IAK4,5
G3V783,5
G3V906,4
G3V9H8,1
G4VFD7,39
G5EB00,1
G5EF15,1689
G5EFF5,445
G7N604,2
G7Q3P2,1
H0YDU8,60
H6TY12,54
H9B8T9,51
H9BT73,1
H9CNL0,9
H9EUW9,6
H9FL65,10
H9TB17,11
H9TVJ1,2
H9YX08,10
I1U3K2,13
I3LIR5,47
I3LTK9,40
I3LVF1,1
I3VR33,1
I6L8L7,2
I6LNT8,8
I6WXK4,54
I6X8D2,343
I6YFP0,25
J3SE37,2
J7HAW4,7
K4CF70,13
K4JQ36,4
K7GQZ4,1
K7N5L2,2
K7N5L9,5
K7XJL6,31
K9N5Q8,4
K9N7C7,131
L8I2E6,7
M3VH47,44
M5BZV0,1
O00089,1
O00115,2
O00141,936
O00142,130
O00148,4
O00167,26
O00182,210
O00187,457
O00206,423
O00214,239
O00220,6
O00222,300
O00231,3
O00238,630
O00255,754
O00257,118
O00264,248
O00299,4
O00311,881
O00329,11529
O00337,8
O00391,2
O00398,99
O00400,146
O00411,4
O00418,186
O00421,154
O00429,88
O00443,222
O00444,968
O00459,1575
O00462,12
O00481,105
O00482,468
O00483,2
O00487,479
O00506,130
O00512,125
O00519,2907
O00555,5
O00560,24
O00571,507
O00574,120
O00590,2
O00625,22
O00746,4
O00748,401
O00750,489
O00754,44
O00763,4202
O00764,352
O00767,1091
O01739,2
O02604,19
O02662,72
O02667,29
O02747,38
O02768,33
O02776,22
O02781,8
O02824,122
O02853,3
O04417,27
O06446,3
O07855,535
O07911,43
O08530,31
O08532,61
O08537,12
O08556,2
O08557,3
O08562,60
O08565,80
O08590,212
O08619,1
O08644,2
O08663,36
O08689,1
O08699,1
O08703,66
O08725,116
O08726,41
O08756,6
O08775,78
O08786,129
O08790,22
O08816,3
O08858,74
O08878,1
O08892,6
O08914,682
O08966,12
O08967,8
O09061,8
O09106,85
O09114,31
O09127,2
O09175,104
O09178,2
O13332,12
O13383,41
O13428,60
O14492,248
O14519,41
O14578,413
O14607,1
O14638,136
O14640,29
O14641,6
O14649,859
O14672,834
O14684,2301
O14686,2
O14717,12
O14727,538
O14730,120
O14733,338
O14744,4244
