smiles,dose,activity
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,300.0,-0.0766523435021745
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,150.0,-0.2487027457906874
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,100.0,-0.3109724724406121
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,75.0,-0.6257902747930262
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,50.0,-0.7037109851469194
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,25.0,-0.7539119443145511
Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,25.0,-1.0308260214552578
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,400.0,-0.3599240843494886
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,300.0,-0.4621809049267259
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,25.0,-1.135014539340206
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,50.0,-1.2592203248417808
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,50.0,-0.2941362877160807
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,30.0,-0.3207668397256046
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,10.0,-0.590308352617047
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,15.0,-0.6018118939308108
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,800.0,0.5717476410202681
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,400.0,0.3600250891893975
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,600.0,0.3336487565147011
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,200.0,-0.0142302205411363
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,100.0,-0.2013579852939458
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,30.0,-0.846185135655471
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,10.0,-1.328179439816751
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,3.0,-1.7682756166714837
N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,3000.0,0.8591382972945308
N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,2000.0,0.775367689765326
N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,1000.0,0.469822015978163
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,800.0,0.2988530764097066
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,400.0,0.2653061733407145
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,200.0,0.0857562534323563
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,150.0,0.2797125608209257
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,95.0,0.1042024960050703
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,75.0,0.0780941504064107
NCC(=O)CCC(=O)O,1400.0,1.318689269947746
NCC(=O)CCC(=O)O,128.0,0.667452952889954
NCC(=O)CCC(=O)O,93.8,0.667452952889954
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,1400.0,-2.264933650315707
Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,20.0,-2.4647058799572297
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,75.0,-1.6716203965612624
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,50.0,-1.812479279163537
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,20.0,-2.095361724445197
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,30.0,-2.1487416512809245
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,5.0,-2.360513510731414
Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,10.0,-2.3912957211989263
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1500.0,0.421768401206924
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1250.0,0.3856062735983122
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1200.0,0.031852631395629
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,250.0,-0.4494659134004926
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,100.0,-0.7363639314118919
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,750.0,0.2354148084850973
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,900.0,0.1909103717827598
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,600.0,0.0957003230223678
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,450.0,-0.090023938255785
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,300.0,-0.1962570337684153
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,400.0,-0.2450149621050047
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,225.0,-0.3654219771461119
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,200.0,-0.3917425208656695
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,100.0,-0.5521794306925486
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,75.0,-0.6817974903903485
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,150.0,-0.7554564642066002
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,100.0,-0.7587889063568078
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,50.0,-0.9404495640682804
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,50.0,-1.027334407733889
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,25.0,-1.3362990746103518
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,100.0,0.1535099893008375
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,75.0,-0.0308352723645319
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,50.0,-0.2495588930072408
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,25.0,-0.5581420090158903
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,24.0,-1.7686153737644272
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,18.0,-1.8727871816167525
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,12.0,-2.043987025483766
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,6.0,-2.3615107430453626
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,800.0,1.3673559210260189
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,400.0,1.2038182844972805
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,630.0,1.1592233337683857
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,200.0,1.033863954413374
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,203.0,1.0334237554869496
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,300.0,0.9311526385232932
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,315.0,0.9294189257142929
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,10.0,-0.4150229844623175
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,9.0,-0.5714467779753619
COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,4.0,-0.8317972531573692
CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,180.0,1.0645203833771448
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,500.0,0.7909884750888159
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1000.0,0.7781512503836436
COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1S(N)(=O)=O,45.0,-0.2749054789185309
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,75.0,0.4148062795010127
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,30.0,0.0569048513364725
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,20.0,-0.0013048416883442
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,25.0,-0.1334236819462924
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,10.0,-0.2081690523251638
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,5.0,-0.6090648928966209
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,2.0,-1.1034737825104448
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,1.0,-1.3625102704874892
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,400.0,0.5514499979728752
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,450.0,0.5502283530550941
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,350.0,0.5017437296279944
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,300.0,0.3672760311864027
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,270.0,0.290034611362518
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,180.0,0.2155053782318184
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,90.0,-0.0947439512515487
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,60.0,-0.390939450069913
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,450.0,1.0501863496753607
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,600.0,1.0447865261630036
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,900.0,0.9973863843973132
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,700.0,0.8380616118598415
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,300.0,0.8139514521937466
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,40.0,-1.3177517474109417
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,28.0,-1.5142974974375465
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,20.0,-1.599590394252607
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,10.0,-1.843458846014281
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,5.0,-2.154901959985743
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,3.0,-2.2630062556188237
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,50.0,0.4950954734526976
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,400.0,0.6004585043985511
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,200.0,0.5558791834525525
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,300.0,0.5351416633976838
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,100.0,0.082336487091058
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,50.0,0.0093092241347713
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,12.5,-0.5606673061697375
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,300.0,1.0620175988571123
CCN(CC)CCNC(=O)c1ccc(N)cc1,4500.0,0.4000854921404084
CCN(CC)CCNC(=O)c1ccc(N)cc1,2500.0,0.3564656684754006
CCN(CC)CCNC(=O)c1ccc(N)cc1,1000.0,0.3310574711922533
CCN(CC)CCNC(=O)c1ccc(N)cc1,750.0,0.1460815016336658
CCN(CC)CCNC(=O)c1ccc(N)cc1,500.0,0.0735125510053807
CCN(CC)CCNC(=O)c1ccc(N)cc1,250.0,-0.1671428623798219
COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,0.1,-4.644931793651149
CCN(CC)C(=O)N1CCN(C)CC1,150.0,-0.2452695309762464
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,100.0,-0.7958813419442653
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,160.0,-0.2788491562503158
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,80.0,-0.5121548798885645
CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,15.0,-1.3851027839668657
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,45.0,-0.947787164230252
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,24.0,-0.9882322587147182
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,12.0,-1.166077674912573
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,15.0,-1.2767007318494272
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,10.0,-1.4881166390211256
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,6.0,-1.488785298863612
CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,3.0,-1.5957365979490907
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,250.0,-0.0431115453499228
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,150.0,-0.2404076913540251
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,100.0,-0.3423068843992023
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,50.0,-0.5366047697870954
CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,30.0,-0.971022294791222
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,20.0,-0.3032069149182557
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,10.0,-0.4742751149657911
CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CS[C@H](c2cccs2)CN(CC(=O)O)C1=O,2.0,-1.0362121726544449
CC(C)c1nc(N(C)c2ncnn2C)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,10.0,-2.319888263005862
COc1c2occc2cc2ccc(=O)oc12,38.5,-0.619788758288394
COc1c2occc2cc2ccc(=O)oc12,45.0,-0.6497519816658371
COc1c2occc2cc2ccc(=O)oc12,10.0,-0.6500290435456666
COc1c2occc2cc2ccc(=O)oc12,42.0,-0.7666865388579536
COc1c2occc2cc2ccc(=O)oc12,40.0,-0.8326826652518239
