canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,P12821,6000.0,,5.222,,Enzyme,compound_0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,P12821,715000.0,,3.146,,Enzyme,compound_1
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,P12821,2.0,12.396666666666668,8.699,7.907,Enzyme,compound_3
O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O)[C@H](S)Cc1ccccc1,P12821,520.0,,6.284,,Enzyme,compound_5
NCCCC[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,P12821,26300.0,,4.58,,Enzyme,compound_11
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,P12821,43000.0,,4.367,,Enzyme,compound_12
O=C(CCC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O,P12821,84300.0,,4.074,,Enzyme,compound_13
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,P12821,13300.0,,4.876,,Enzyme,compound_14
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1Oc1ccccc1)C(=O)O,P12821,5000.0,,5.301,,Enzyme,compound_17
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(F)c(F)c2)cc1)C(=O)O,P12821,1800.0,,5.745,,Enzyme,compound_18
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)C(=O)O,P12821,2600.0,,5.585,,Enzyme,compound_19
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1cccc(Oc2ccccc2)c1)C(=O)O,P12821,1100.0,,5.959,,Enzyme,compound_20
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)C(=O)O,P12821,25000.0,,4.602,,Enzyme,compound_21
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,P12821,490.0,,6.31,,Enzyme,compound_22
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,P12821,410.0,,6.387,,Enzyme,compound_23
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,P12821,310.0,,6.509,,Enzyme,compound_24
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(Oc2ccccc2)cc1)C(=O)O,P12821,250.0,,6.602,,Enzyme,compound_25
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1OCc1ccccc1)C(=O)O,P12821,770.0,,6.114,,Enzyme,compound_26
