smiles,activity
CC1(C)[C@H](NC(=O)/C(=N\OC(CS(C)(=O)=O)c2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,-2.1311440488253703
N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)N[C@H]3CCCC[C@@H]3F)c(=O)n3ccccc23)CC1,-0.7309192303085675
CN(C)C(=O)C(=O)N(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc12,-1.1615791206591135
O=C(NC1CCCC1)Oc1ccc(O)c(-c2ccccc2)c1,-1.7674129793650497
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2C)n[nH]1,-0.5515721196406536
NC(=O)c1c(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)ccc(Cl)c1Cl,-0.6718490220401534
COc1ccc(N(Cc2cccc(C#N)n2)C2CCN([C@H](C)CCNC(=O)c3c(C)cc(Cl)nc3C)CC2)cc1,-0.7936059355691265
CNc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,-0.495690515700858
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2ccccc2)C1=O)C(C)(C)C)C(C)(C)C,-2.356883044431443
Fc1ccc(Oc2ccc(-c3noc(-c4ccc5[nH]ccc5c4)n3)cc2)cc1,-1.886457720046036
COc1ccc2ncn(-c3cc(O[C@H](C)c4ccccc4C(F)(F)F)c(C(N)=O)s3)c2c1,-2.2222108125651343
CN(Cc1ccc(C(F)(F)F)cc1)c1cc(C(=O)Nc2ccccc2)ncn1,-2.6780082524527327
CC(C)(O)c1ccc(-c2nc(-c3ccc(F)cc3)oc2Sc2ccc(Cl)cn2)cn1,-1.7699600188420606
c1ccc(CC[C@@H]2CN(Cc3nc4ccccc4[nH]3)CCO2)cc1,-1.208035810570897
CN(C)CCN(C)C1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1,-1.5532609546660656
CCCC(C)(C)C[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,-1.962968132250768
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,-0.2215593164287672
Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,-0.7276626054354383
Cc1csc(NC(=O)NC2C3CC4CC(C3)CC2C4)n1,-2.0972901870301213
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,-1.9812766224378369
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2Cl)n[nH]1,-0.6407868198934434
CN(C)C(c1ccccc1)c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1,-2.187454278863416
NC[C@H]1CC[C@H](C(=O)O)CC1,-0.0251171510325646
O=C1C[C@@H](c2c[nH]c3ccc(F)cc23)C(=O)N1,-0.5425511003067398
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(c2ncccn2)C3)cc1,-1.678194516142461
CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)c3cc4cc(F)ccc4[nH]3)sc2C1,-0.4310594303837032
CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,-0.992256061554874
CN(C)C(=O)C(=O)N(C)[C@H]1CCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,-0.4310594303837032
Cn1nnc(-c2c(F)cc(Cl)cc2-c2cnc(CNC(=O)N(O)C3CCC(F)(F)CC3)c(F)c2)n1,-1.854275425119336
CCS(=O)(=O)c1ccc2oc(-c3ccc4c(c3)[C@@H](O)[C@H](O)C=C4)nc2c1,-0.8898414314939592
Cc1ccc(S(=O)(=O)N2N=Cc3oc(C)cc3B2O)cc1,-1.2844228080425482
OC1=Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1,-1.2928558116575553
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,-0.0750290719511064
O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c2ccccc12,-1.6972168265731098
C[C@@H]1O[C@@H](NC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O,-0.6560402709928592
